time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,-9.823793185
399.760391,0.011102,-0.01197,-0.08379,-9.829764,-9.830128,0.001065,-0.00426,0.001065,99661.44,29.23,-0.006334815,
399.771586,0.011195,0.004788,-0.090972,-9.817794,-9.818217,0.00639,-0.00639,0.003195,99661.44,29.23,0.005576185,
399.78276,0.011174,0.007182,-0.093366,-9.82737,-9.827816,0.00426,-0.003195,0.00213,99661.44,29.23,-0.004022815,
399.793971,0.011212,0,-0.07182,-9.8154,-9.815663,0.00426,-0.005325,0.00426,99661.44,29.23,0.008130185,
399.805213,0.011242,-0.004788,-0.08379,-9.808218,-9.808577,0.00426,-0.005325,0.003195,99661.44,29.23,0.015216185,
399.816308,0.011095,0.002394,-0.076608,-9.8154,-9.815699,-0.001065,-0.00426,0.00213,99661.44,29.23,0.008094185,
399.827621,0.011313,-0.016758,-0.086184,-9.820188,-9.82058,0,-0.00639,0.003195,99661.44,29.23,0.003213185,
399.838713,0.011092,0.002394,-0.093366,-9.820188,-9.820632,0.003195,-0.007455,0.00426,99661.44,29.23,0.003161185,
399.849934,0.011221,0.002394,-0.088578,-9.824976,-9.825376,0.00426,-0.00639,0.005325,99661.44,29.23,-0.001582815,
399.861076,0.011142,-0.02394,-0.076608,-9.82737,-9.827698,0.001065,-0.00426,0.005325,99661.44,29.23,-0.003904815,
399.872397,0.011321,0.004788,-0.093366,-9.836946,-9.83739,0.003195,-0.00639,0.003195,99661.58,29.23,-0.013596815,
399.883514,0.011117,0.01197,-0.090972,-9.841734,-9.842162,0.00213,-0.003195,0.001065,99661.58,29.23,-0.018368815,
399.894653,0.01114,0.009576,-0.088578,-9.829764,-9.830168,0.003195,-0.00426,0.001065,99661.58,29.23,-0.006374815,
399.90581,0.011157,-0.021546,-0.076608,-9.836946,-9.837268,0.005325,-0.00213,0.003195,99661.58,29.23,-0.013474815,
399.916951,0.011141,0,-0.074214,-9.813006,-9.813287,0.00426,-0.00639,0.00426,99661.58,29.23,0.010506185,
399.928229,0.011278,-0.002394,-0.088578,-9.813006,-9.813406,0.001065,-0.00426,0.003195,99661.58,29.23,0.010387185,
399.939405,0.011177,-0.014364,-0.08379,-9.820188,-9.820556,0.005325,-0.00639,0.003195,99661.68,29.23,0.003237185,
399.950537,0.011132,-0.002394,-0.079002,-9.829764,-9.830082,0.00213,-0.00639,0.003195,99661.68,29.23,-0.006288815,
399.961911,0.011374,-0.004788,-0.081396,-9.813006,-9.813345,0.003195,-0.00852,0.005325,99661.68,29.23,0.010448185,
399.973081,0.01117,-0.014364,-0.093366,-9.822582,-9.823036,-0.001065,-0.00213,0.003195,99661.68,29.23,0.000757185,
399.984101,0.011021,0.004788,-0.076608,-9.832158,-9.832458,0.003195,-0.00639,0.00213,99661.68,29.23,-0.008664815,
399.99598,0.011878,0,-0.074214,-9.832158,-9.832438,0.00426,-0.007455,0.00426,99661.68,29.23,-0.008644815,
400.00651,0.01053,-0.009576,-0.088578,-9.844128,-9.844531,0.003195,-0.00426,0.00426,99661.68,29.23,-0.020737815,
400.017732,0.011222,-0.009576,-0.090972,-9.822582,-9.823008,0.003195,-0.00639,0.003195,99661.68,29.23,0.000785185,
400.028887,0.011155,0.007182,-0.081396,-9.8154,-9.81574,0.001065,-0.00639,0.001065,99661.68,29.23,0.008053185,
400.040017,0.011131,-0.009576,-0.079002,-9.832158,-9.83248,0.001065,-0.003195,0.00426,99661.68,29.23,-0.008686815,
400.051455,0.011438,0,-0.08379,-9.832158,-9.832515,0.00426,-0.009585,0.00639,99661.68,29.23,-0.008721815,
400.062489,0.011034,-0.014364,-0.08379,-9.836946,-9.837313,0.001065,-0.005325,0.005325,99661.71,29.23,-0.013519815,
400.073536,0.011047,-0.009576,-0.08379,-9.820188,-9.82055,0.00213,-0.005325,0.00426,99661.71,29.23,0.003243185,
400.08484,0.011305,0.002394,-0.093366,-9.8154,-9.815844,0.00426,-0.007455,0.00213,99661.71,29.23,0.007949185,
400.095931,0.01109,0.014364,-0.076608,-9.820188,-9.820497,0.00213,-0.00639,0.00213,99661.71,29.23,0.003296185,
400.107262,0.011332,-0.01197,-0.093366,-9.820188,-9.820639,0.001065,-0.005325,0.003195,99661.71,29.23,0.003154185,
400.118478,0.011215,-0.009576,-0.09576,-9.8154,-9.815872,0.005325,-0.00426,0.00213,99661.71,29.23,0.007921185,
400.129682,0.011204,-0.002394,-0.07182,-9.822582,-9.822845,0.001065,-0.00426,0.003195,99661.68,29.23,0.000948185,
400.140667,0.010985,0,-0.069426,-9.822582,-9.822827,0.00426,-0.005325,0.003195,99661.68,29.23,0.000966185,
400.151869,0.011203,-0.004788,-0.079002,-9.829764,-9.830083,0.003195,-0.003195,0.00426,99661.68,29.23,-0.006289815,
400.163072,0.011203,-0.009576,-0.081396,-9.817794,-9.818136,0.001065,-0.007455,0.00639,99661.68,29.23,0.005657185,
400.174368,0.011295,-0.004788,-0.08379,-9.832158,-9.832516,0.001065,-0.005325,0.003195,99661.68,29.23,-0.008722815,
400.185412,0.011045,-0.009576,-0.07182,-9.836946,-9.837213,0.003195,-0.00639,0.001065,99661.68,29.23,-0.013419815,
400.196609,0.011196,-0.026334,-0.079002,-9.820188,-9.820541,0.003195,-0.005325,0.00426,99661.73,29.23,0.003252185,
400.207822,0.011214,-0.016758,-0.081396,-9.822582,-9.822934,0.003195,-0.00639,0.003195,99661.73,29.23,0.000859185,
400.218989,0.011166,-0.002394,-0.090972,-9.829764,-9.830185,0.00213,-0.00426,0.00213,99661.73,29.23,-0.006391815,
400.23027,0.011281,0.002394,-0.08379,-9.836946,-9.837303,0.003195,-0.007455,0.005325,99661.73,29.23,-0.013509815,
400.241367,0.011097,-0.01197,-0.088578,-9.836946,-9.837352,0.00213,-0.00426,0.003195,99661.73,29.23,-0.013558815,
400.253238,0.011872,-0.004788,-0.074214,-9.8154,-9.815682,0.001065,-0.00639,0.00213,99661.81,29.23,0.008111185,
400.263353,0.010115,0,-0.081396,-9.824976,-9.825313,0.005325,-0.00639,0.00426,99661.81,29.23,-0.001519815,
400.273483,0.01013,-0.002394,-0.076608,-9.822582,-9.822881,0.001065,-0.005325,0.00213,99661.81,29.23,0.000912185,
400.283617,0.010134,-0.004788,-0.088578,-9.82737,-9.82777,0.003195,-0.005325,0.005325,99661.81,29.23,-0.003976815,
400.293931,0.010313,0.004788,-0.088578,-9.829764,-9.830164,0.001065,-0.00426,0.00426,99661.81,29.23,-0.006370815,
400.304016,0.010085,-0.007182,-0.086184,-9.832158,-9.832538,0.00213,-0.00639,0.005325,99661.81,29.23,-0.008744815,
400.314104,0.010089,-0.009576,-0.074214,-9.810612,-9.810897,0.003195,-0.007455,0.001065,99661.81,29.23,0.012896185,
400.324207,0.010103,0.002394,-0.076608,-9.8154,-9.815699,0.001065,-0.00639,0.003195,99661.81,29.23,0.008094185,
400.334336,0.010129,0,-0.093366,-9.829764,-9.830207,0.003195,-0.003195,0.00426,99661.81,29.23,-0.006413815,
400.344452,0.010116,0.021546,-0.081396,-9.824976,-9.825337,0.00213,-0.00639,0.003195,99661.81,29.23,-0.001543815,
400.354551,0.010099,-0.004788,-0.08379,-9.82737,-9.827728,0,-0.001065,0.00426,99661.81,29.23,-0.003934815,
400.364857,0.010305,0.009576,-0.07182,-9.817794,-9.818061,0.00639,-0.00852,0.005325,99661.81,29.23,0.005732185,
400.375543,0.010687,0,-0.074214,-9.817794,-9.818074,0.001065,-0.007455,0.00213,99661.81,29.23,0.005719185,
400.387815,0.012272,-0.016758,-0.081396,-9.805824,-9.806176,0.00213,-0.00426,0.00426,99661.76,29.23,0.017617185,
400.398002,0.010187,-0.02394,-0.081396,-9.813006,-9.813373,0.00426,-0.00426,0.003195,99661.76,29.23,0.010420185,
400.409192,0.01119,0.002394,-0.088578,-9.805824,-9.806224,0.00213,-0.007455,0.003195,99661.76,29.23,0.017569185,
400.420282,0.011091,0.002394,-0.07182,-9.817794,-9.818057,0.001065,-0.003195,0.00426,99661.76,29.23,0.005736185,
400.431591,0.011308,-0.016758,-0.076608,-9.829764,-9.830077,0.001065,-0.00639,0.003195,99661.76,29.23,-0.006283815,
400.442809,0.011219,0.002394,-0.069426,-9.824976,-9.825222,0.00426,-0.00426,0.003195,99661.76,29.23,-0.001428815,
400.453895,0.011085,-0.004788,-0.09576,-9.810612,-9.811081,-0.001065,-0.005325,0.00426,99661.76,29.23,0.012712185,
400.465257,0.011363,0,-0.093366,-9.822582,-9.823026,0.00426,-0.00639,0.00426,99661.76,29.23,0.000767185,
400.476378,0.011121,0.016758,-0.093366,-9.824976,-9.825434,0.00426,-0.007455,0.001065,99661.76,29.23,-0.001640815,
400.487538,0.011159,-0.014364,-0.081396,-9.813006,-9.813354,0.003195,-0.005325,0.00426,99661.76,29.23,0.010439185,
400.498964,0.011426,-0.002394,-0.086184,-9.824976,-9.825354,0.003195,-0.005325,0.00213,99661.76,29.23,-0.001560815,
400.50979,0.010826,-0.02394,-0.088578,-9.836946,-9.837374,0.00213,-0.007455,0.00426,99661.79,29.23,-0.013580815,
400.520977,0.011187,0,-0.088578,-9.820188,-9.820587,0.001065,-0.00639,0.003195,99661.79,29.23,0.003206185,
400.532327,0.01135,0.002394,-0.102942,-9.832158,-9.832697,0.001065,-0.00426,0.00426,99661.79,29.23,-0.008903815,
400.543402,0.011075,-0.002394,-0.098154,-9.822582,-9.823073,0.005325,-0.00852,0.003195,99661.79,29.23,0.000720185,
400.554654,0.011252,-0.009576,-0.09576,-9.822582,-9.823053,0.001065,-0.007455,0.003195,99661.79,29.23,0.000740185,
400.565699,0.011044,-0.002394,-0.102942,-9.822582,-9.823122,0.00213,-0.00426,0.003195,99661.79,29.23,0.000671185,
400.576924,0.011225,-0.004788,-0.090972,-9.810612,-9.811035,0.003195,-0.007455,0.005325,99661.87,29.23,0.012758185,
400.588118,0.011194,0.007182,-0.090972,-9.817794,-9.818218,0.001065,-0.007455,0.003195,99661.87,29.23,0.005575185,
400.599273,0.011156,0.002394,-0.088578,-9.813006,-9.813406,0.00213,-0.007455,0.00426,99661.87,29.23,0.010387185,
400.610501,0.011228,0.002394,-0.079002,-9.820188,-9.820506,0.00426,-0.00639,0.00426,99661.87,29.23,0.003287185,
400.621646,0.011144,0,-0.088578,-9.829764,-9.830163,0.003195,-0.009585,0.00213,99661.87,29.23,-0.006369815,
400.632851,0.011205,0,-0.100548,-9.820188,-9.820703,0.005325,-0.00639,0.003195,99661.87,29.23,0.003090185,
400.643986,0.011135,-0.009576,-0.09576,-9.820188,-9.82066,0.00213,-0.005325,0.003195,99661.87,29.23,0.003133185,
400.655264,0.011279,-0.028728,-0.088578,-9.829764,-9.830205,0.003195,-0.00639,0.003195,99661.87,29.23,-0.006411815,
400.666352,0.011088,0.004788,-0.064638,-9.83934,-9.839553,0,-0.003195,0.00426,99661.87,29.23,-0.015759815,
400.677522,0.011171,-0.007182,-0.088578,-9.832158,-9.83256,0.005325,-0.007455,0.003195,99661.87,29.23,-0.008766815,
400.688782,0.01126,-0.014364,-0.090972,-9.8154,-9.815832,0.00426,-0.007455,0.003195,99661.87,29.23,0.007961185,
400.699997,0.011215,-0.028728,-0.088578,-9.820188,-9.820629,0.00213,-0.003195,0.00426,99661.89,29.23,0.003164185,
400.711231,0.011234,-0.014364,-0.062244,-9.820188,-9.820396,0.001065,-0.005325,0.003195,99661.89,29.23,0.003397185,
400.722297,0.011066,-0.01197,-0.076608,-9.808218,-9.808524,0.003195,-0.005325,0.00426,99661.89,29.23,0.015269185,
400.733449,0.011152,-0.014364,-0.098154,-9.817794,-9.818295,0.003195,-0.005325,0.005325,99661.89,29.23,0.005498185,
400.744633,0.011184,-0.016758,-0.069426,-9.817794,-9.818054,0.00213,-0.00639,0.00213,99661.89,29.23,0.005739185,
400.756029,0.011396,0.007182,-0.09576,-9.836946,-9.837415,0.005325,-0.007455,0.005325,99661.89,29.23,-0.013621815,
400.767097,0.011069,-0.009576,-0.08379,-9.817794,-9.818156,0,-0.005325,0.005325,99661.82,29.23,0.005637185,
400.778203,0.011106,-0.019152,-0.086184,-9.810612,-9.811009,0.00213,-0.00426,0.005325,99661.82,29.23,0.012784185,
400.789435,0.011232,-0.014364,-0.08379,-9.82737,-9.827738,0.003195,-0.007455,0.00426,99661.82,29.23,-0.003944815,
