time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag.old,,
2024.250253,0.010182,-0.07182,0.021546,-9.813006,-9.813292,0.00213,-0.00639,-0.001065,98931.26,25.78,0.009824037,0.015975,,-9.823116037
2024.260358,0.010105,-0.102942,0.028728,-9.834552,-9.835133,0.00213,-0.005325,0.001065,98931.26,25.78,-0.012016963,-0.005866,,
2024.270526,0.010168,-0.10773,0.026334,-9.808218,-9.808845,0.001065,-0.005325,0.001065,98931.44,25.78,0.014271037,0.020422,,
2024.280603,0.010077,-0.050274,-0.002394,-9.846522,-9.846651,0.001065,-0.00639,0.00213,98931.44,25.78,-0.023534963,-0.017384,,
2024.290703,0.0101,-0.086184,0.007182,-9.82737,-9.827751,0.001065,-0.00213,-0.001065,98931.44,25.78,-0.004634963,0.001516,,
2024.3008,0.010097,-0.057456,-0.021546,-9.808218,-9.80841,0.00213,-0.00213,0.00213,98931.44,25.78,0.014706037,0.020857,,
2024.311063,0.010263,-0.093366,0,-9.813006,-9.81345,0.003195,-0.007455,0,98931.44,25.78,0.009666037,0.015817,,
2024.321146,0.010083,-0.08379,-0.009576,-9.820188,-9.82055,0.001065,-0.00639,0.00213,98931.44,25.78,0.002566037,0.008717,,
2024.33124,0.010094,-0.069426,0.014364,-9.824976,-9.825232,0.001065,-0.00639,0,98931.44,25.78,-0.002115963,0.004035,,
2024.341473,0.010233,-0.076608,-0.01197,-9.801036,-9.801343,0.003195,-0.00213,0.00639,98931.44,25.78,0.021773037,0.027924,,
2024.351568,0.010095,-0.098154,0.021546,-9.813006,-9.813521,0,-0.00426,0.00213,98931.44,25.78,0.009595037,0.015746,,
2024.362597,0.011029,-0.079002,0,-9.80343,-9.803748,0,-0.009585,0.001065,98931.44,25.78,0.019368037,0.025519,,
2024.373866,0.011269,-0.057456,-0.002394,-9.76752,-9.767689,0.001065,-0.00426,0.001065,98931.44,25.78,0.055427037,0.061578,,
2024.384993,0.011128,-0.050274,-0.03591,-9.829764,-9.829958,0.003195,-0.005325,0.005325,98931.44,25.78,-0.006841963,-0.000691,,
2024.39639,0.011397,-0.05985,0.01197,-9.808218,-9.808408,0.001065,-0.00639,0,98931.42,25.78,0.014708037,0.020859,,
2024.407894,0.011505,-0.074214,0.021546,-9.808218,-9.808522,0.001065,-0.005325,0.00426,98931.42,25.78,0.014594037,0.020745,,
2024.418673,0.010778,-0.081396,0.038304,-9.820188,-9.8206,0,-0.007455,0.00213,98931.42,25.78,0.002516037,0.008667,,
2024.429691,0.011018,-0.07182,0.016758,-9.822582,-9.822859,0.00213,-0.005325,0.003195,98931.42,25.78,0.000257037,0.006408,,
2024.441003,0.011312,-0.090972,0.040698,-9.810612,-9.811118,0.001065,-0.00639,0,98931.42,25.78,0.011998037,0.018149,,
2024.452139,0.011136,-0.09576,0.031122,-9.82737,-9.827886,0.00213,-0.003195,0.001065,98931.37,25.78,-0.004769963,0.001381,,
2024.463359,0.01122,-0.057456,0.002394,-9.844128,-9.844296,-0.001065,-0.007455,0,98931.37,25.78,-0.021179963,-0.015029,,
2024.474573,0.011215,-0.074214,0.019152,-9.834552,-9.834851,0.001065,-0.003195,-0.001065,98931.37,25.78,-0.011734963,-0.005584,,
