time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,
896.671469,0.010101,0.040664,-0.017342,-9.656504,-9.656605,-0.00426,-0.009585,-0.003195,97898.83,30.7,0.00198004,-9.65858504
896.681565,0.010095,0.019734,-0.021528,-9.667268,-9.667312,-0.003195,-0.00852,0.00213,97898.83,30.7,-0.00872696,
896.691673,0.010109,0.016744,-0.020332,-9.673846,-9.673882,-0.003195,-0.00852,0,97898.83,30.7,-0.01529696,
896.701803,0.01013,0.01794,-0.01794,-9.670258,-9.670291,-0.00213,-0.00639,0,97898.83,30.7,-0.01170596,
896.711882,0.010079,0.025714,-0.036478,-9.65471,-9.654813,-0.005325,-0.005325,-0.00213,97898.55,30.7,0.00377204,
896.721988,0.010106,0.007176,-0.00598,-9.670258,-9.670263,-0.00426,-0.00852,-0.001065,97898.55,30.7,-0.01167796,
896.732072,0.010084,0.021528,-0.03588,-9.662484,-9.662575,-0.005325,-0.005325,0.00213,97898.55,30.7,-0.00398996,
896.742182,0.01011,0.028106,-0.029302,-9.665474,-9.665559,-0.00639,-0.00852,0,97898.55,30.7,-0.00697396,
896.752295,0.010113,0.003588,-0.031096,-9.666072,-9.666123,-0.005325,-0.001065,0,97898.55,30.7,-0.00753796,
896.764951,0.012656,0.02093,-0.034684,-9.666072,-9.666157,-0.005325,-0.00639,0.00213,97898.55,30.7,-0.00757196,
896.775043,0.010092,0.025714,-0.045448,-9.670856,-9.670997,-0.005325,-0.007455,0.001065,97898.55,30.7,-0.01241196,
896.785213,0.01017,-0.008372,-0.019136,-9.655906,-9.655929,0,-0.009585,0,97898.55,30.7,0.00265604,
896.795429,0.010216,0.02691,-0.03289,-9.639162,-9.639256,-0.00213,-0.00639,0.00213,97898.55,30.7,0.01932904,
896.805546,0.010117,0.021528,-0.028704,-9.673846,-9.673913,-0.00426,-0.00639,0.001065,97898.55,30.7,-0.01532796,
896.815646,0.010101,0.002392,-0.022126,-9.634378,-9.634404,-0.00426,-0.009585,0.00213,97898.55,30.7,0.02418104,
896.826273,0.010626,0.019734,-0.040066,-9.639162,-9.639265,-0.003195,-0.007455,0,97898.35,30.69,0.01932004,
896.837178,0.010905,0.001794,-0.02392,-9.6577,-9.65773,-0.005325,-0.00852,0.001065,97898.35,30.69,0.00085504,
896.848711,0.011533,-0.006578,-0.02691,-9.64275,-9.64279,-0.00213,-0.00852,-0.001065,97898.35,30.69,0.01579504,
896.859549,0.010838,0.036478,-0.046644,-9.63677,-9.636952,-0.005325,-0.01065,0.001065,97898.35,30.69,0.02163304,
896.870704,0.011155,0.001794,-0.009568,-9.65471,-9.654715,-0.005325,-0.005325,-0.001065,97898.35,30.69,0.00387004,
896.88197,0.011267,0.034086,-0.028106,-9.667866,-9.667967,-0.003195,-0.00639,0,97898.35,30.69,-0.00938196,
