行程	实际高度	加速度测量高度值	气压测量高度值（前后3s 气压平均值）	采用停止前后 1s 内气压平均值	采用停止前后 0.5s 内气压平均值
由 25 到 18 楼	25.2	25.09	25.824	-25.52625	-25.126711
由 18 到 17 楼	4.2	4.157	4.275	-4.087837	-3.792797
由 17 到 12 楼	12.6	12.541	12.859	-12.644719	-12.256967
由 12 到 9 楼	12.6	12.531	13.523	-13.214312	-12.859646
由 9 到 -1 楼	43.9	43.675	45.253	-44.731697	-44.276183
由 -1 到 -2 楼	3.9	3.86	4.325	-3.783339	-3.471998
由 -2 到 -1 楼	3.9	3.925	3.338	3.576039	3.395683
由 -1 到 1 楼	6.1	6.13	6.096	6.176613	5.980006
由 1 到 4 楼	16.8	16.79	16.789	16.78036	16.547498
由 4 到 9 楼	21	21.119	20.954	20.51719	20.268307
由 9 到 15 楼	16.8	16.877	17.122	17.005515	16.762729
由 15 到 17 楼	8.4	8.332	8.09	7.999741	7.798276
由 17 到 25 楼	29.4	29.385	29.3	29.107137	28.90241
由 25 到 1 楼	92.4	92.649	95.118	-94.601719	-94.225197
由 1 到 4 楼	16.8	16.797	17.481	17.429949	17.189248
由 4 到 10 楼	25.2	25.258	25.093	24.96793	24.713989
由 10 到 17 楼	21	20.991	22.012	21.839714	21.590542
由 17 到 25 楼	29.4	29.262	29.557	29.354309	29.085327

