time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,
1427.630286,0.011241,-0.019152,-0.079002,-9.822582,-9.822918,0.00213,-0.00426,0.001065,98549.48,27.13,-0.0053749,-9.8175431
1427.641483,0.011197,0.016758,-0.067032,-9.805824,-9.806067,0.005325,-0.00639,0.001065,98549.48,27.13,0.0114761,
1427.652551,0.011068,0.026334,-0.079002,-9.813006,-9.813359,0.005325,-0.00639,0,98549.48,27.13,0.0041841,
1427.663775,0.011224,-0.01197,-0.08379,-9.79146,-9.791826,0.00426,-0.005325,0,98549.58,27.13,0.0257171,
1427.674963,0.011187,-0.019152,-0.079002,-9.80343,-9.803767,0.003195,-0.005325,0.003195,98549.58,27.13,0.0137761,
1427.686212,0.01125,0.002394,-0.07182,-9.8154,-9.815663,0.005325,-0.005325,0.001065,98549.58,27.13,0.0018801,
1427.697272,0.01106,0.031122,-0.079002,-9.808218,-9.808586,0.00213,-0.00426,0.00213,98549.58,27.13,0.0089571,
1427.708594,0.011322,0.014364,-0.069426,-9.820188,-9.820444,0.00213,-0.00426,0.00213,98549.58,27.13,-0.0029009,
1427.719853,0.011258,-0.002394,-0.055062,-9.829764,-9.829919,0.00213,-0.007455,0.003195,98549.58,27.13,-0.0123759,
1427.730911,0.011058,0.019152,-0.074214,-9.817794,-9.818093,0.00426,-0.00639,0,98549.58,27.13,-0.0005499,
1427.742089,0.011178,0,-0.069426,-9.810612,-9.810858,0.003195,-0.005325,0.00213,98549.58,27.13,0.0066851,
1427.753204,0.011115,-0.002394,-0.07182,-9.805824,-9.806087,0.00213,-0.00639,0.00213,98549.58,27.13,0.0114561,
1427.76438,0.011176,-0.033516,-0.086184,-9.824976,-9.825411,0.001065,-0.00639,0.001065,98549.58,27.13,-0.0078679,
1427.775904,0.011524,0.014364,-0.062244,-9.824976,-9.825184,0.005325,-0.00852,0.00213,98549.58,27.13,-0.0076409,
1427.786832,0.010928,0.004788,-0.069426,-9.817794,-9.818041,0.00213,-0.00639,0.001065,98549.71,27.13,-0.0004979,
1427.797961,0.011129,-0.031122,-0.086184,-9.810612,-9.81104,0,-0.00639,0.00213,98549.71,27.13,0.0065031,
1427.809326,0.011365,-0.028728,-0.062244,-9.810612,-9.810852,0.00213,-0.005325,0.003195,98549.71,27.13,0.0066911,
1427.820313,0.010987,-0.009576,-0.08379,-9.813006,-9.813368,0.00213,-0.005325,0,98549.71,27.13,0.0041751,
1427.831544,0.011231,-0.004788,-0.08379,-9.817794,-9.818153,0.003195,-0.009585,0.003195,98549.71,27.13,-0.0006099,
1427.842751,0.011206,0,-0.067032,-9.822582,-9.822811,0.005325,-0.005325,0.001065,98549.71,27.13,-0.0052679,
1427.854004,0.011253,-0.007182,-0.076608,-9.822582,-9.822883,0,-0.005325,0.00213,98549.75,27.13,-0.0053399,
