time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
1873.635693,0.010095,-0.079002,0.007182,-9.844128,-9.844448,0.00213,-0.00426,0.001065,99176.58,25.74,-0.015181
1873.645807,0.010114,-0.081396,-0.019152,-9.858492,-9.858847,0.001065,-0.005325,0.00213,99176.58,25.74,-0.02958
1873.655906,0.010099,-0.074214,0,-9.829764,-9.830044,0,-0.005325,0.00426,99176.58,25.74,-0.000777
1873.665986,0.01008,-0.090972,0.021546,-9.853704,-9.854147,0.001065,-0.00639,0.001065,99176.58,25.74,-0.02488
1873.676081,0.010095,-0.088578,0.01197,-9.805824,-9.806231,0.001065,-0.00426,0.001065,99176.58,25.74,0.023036
1873.686207,0.010127,-0.098154,0.045486,-9.805824,-9.806421,0.001065,-0.005325,0.00213,99176.5,25.74,0.022846
1873.696331,0.010124,-0.105336,0.002394,-9.805824,-9.80639,0.001065,-0.005325,0.00213,99176.5,25.74,0.022877
1873.706427,0.010096,-0.076608,0.028728,-9.824976,-9.825317,-0.001065,-0.00639,-0.00213,99176.5,25.74,0.00395
1873.716538,0.010111,-0.081396,0.014364,-9.801036,-9.801385,0.00213,-0.00213,0,99176.5,25.74,0.027882
1873.727785,0.011247,-0.09576,0.007182,-9.834552,-9.835021,0.00213,-0.007455,0.003195,99176.5,25.74,-0.005754
1873.739552,0.011767,-0.086184,0.016758,-9.774702,-9.775096,0.00426,-0.00426,0.003195,99176.5,25.74,0.054171
1873.750852,0.0113,-0.069426,-0.016758,-9.805824,-9.806084,0.001065,-0.005325,0.003195,99176.42,25.74,0.023183
1873.761252,0.0104,-0.090972,-0.019152,-9.834552,-9.834991,0.00213,-0.005325,0.00213,99176.42,25.74,-0.005724
1873.77241,0.011158,-0.086184,0.007182,-9.808218,-9.808599,0.00213,-0.005325,0.00213,99176.42,25.74,0.020668
1873.7836,0.01119,-0.062244,0.004788,-9.824976,-9.825174,0.003195,-0.00213,0.001065,99176.42,25.74,0.004093
1873.794875,0.011275,-0.074214,0,-9.829764,-9.830044,0.003195,-0.005325,0.003195,99176.42,25.74,-0.000777
1873.805987,0.011112,-0.064638,-0.019152,-9.83934,-9.839571,0.003195,-0.00639,0,99176.35,25.74,-0.010304
1873.817202,0.011215,-0.076608,0.007182,-9.848916,-9.849217,0.00213,-0.00639,0.003195,99176.35,25.74,-0.01995
1873.828373,0.011171,-0.067032,-0.004788,-9.832158,-9.832388,0,-0.007455,0.001065,99176.35,25.74,-0.003121
1873.839566,0.011193,-0.067032,0.01197,-9.82737,-9.827606,0.003195,-0.00639,0.00426,99176.35,25.74,0.001661
1873.850785,0.011219,-0.093366,0.033516,-9.817794,-9.818295,0.001065,-0.00639,0,99176.35,25.74,0.010972
1873.862107,0.011322,-0.069426,0.016758,-9.80343,-9.80369,0.00426,-0.005325,0.003195,99176.35,25.74,0.025577
1873.873094,0.010988,-0.064638,0.014364,-9.813006,-9.813229,0.00213,-0.00426,0.003195,99176.35,25.74,0.016038
1873.884242,0.011148,-0.100548,0.038304,-9.832158,-9.832747,0.00213,-0.007455,0.001065,99176.35,25.74,-0.00348
1873.895532,0.01129,-0.045486,0.009576,-9.841734,-9.841844,0.001065,-0.00639,0.00213,99176.35,25.74,-0.012577
1873.906774,0.011242,-0.050274,0.026334,-9.829764,-9.829928,0.003195,-0.00426,0.00213,99176.35,25.74,-0.000661
1873.917885,0.01111,-0.069426,0.01197,-9.813006,-9.813259,0.00213,-0.007455,0,99176.35,25.74,0.016008
1873.928979,0.011094,-0.09576,0.026334,-9.798642,-9.799145,0.00213,-0.00639,0.001065,99176.35,25.74,0.030122
1873.940479,0.0115,-0.100548,0.02394,-9.805824,-9.806369,0.00213,-0.007455,0.003195,99176.35,25.74,0.022898
1873.951393,0.010913,-0.122094,0.040698,-9.741186,-9.742036,0.00213,-0.00639,0.00213,99176.35,25.74,0.087231
1873.962686,0.011294,-0.102942,0.038304,-9.777096,-9.777713,0.001065,-0.001065,0.00426,99176.35,25.74,0.051554
1873.973872,0.011186,-0.062244,0.004788,-9.813006,-9.813205,0.001065,-0.00426,0,99176.35,25.74,0.016062
1873.984902,0.011031,-0.076608,0.004788,-9.808218,-9.808518,0.001065,-0.003195,0,99176.35,25.74,0.020749
1873.99637,0.011467,-0.079002,-0.01197,-9.805824,-9.80615,0.00213,-0.00426,0,99176.35,25.74,0.023117
1874.007507,0.011138,-0.050274,-0.004788,-9.805824,-9.805954,0.00213,-0.00639,0.003195,99176.34,25.74,0.023313
1874.018482,0.010975,-0.074214,0.004788,-9.848916,-9.849197,0.00213,-0.007455,0.00213,99176.34,25.74,-0.01993
1874.029864,0.011381,-0.045486,0,-9.813006,-9.813111,-0.001065,-0.00639,0.001065,99176.34,25.74,0.016156
1874.040866,0.011002,-0.08379,0,-9.868068,-9.868424,0,-0.005325,-0.001065,99176.34,25.74,-0.039157
