time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag.old,,
1678.89116,0.011305,-0.07182,0.016758,-9.817794,-9.818071,0.00426,-0.005325,0.00213,99665.43,25.6,0.004929,0.011196,,-9.823
1678.902276,0.011116,-0.088578,0.014364,-9.817794,-9.818204,0.001065,-0.00639,0.001065,99665.43,25.6,0.004796,0.011063,,
1678.913556,0.01128,-0.088578,0.026334,-9.80343,-9.803866,0,-0.005325,0.001065,99665.44,25.6,0.019134,0.025401,,
1678.924546,0.010991,-0.067032,-0.007182,-9.8154,-9.815632,0.00426,-0.005325,0.001065,99665.44,25.6,0.007368,0.013635,,
1678.936091,0.011545,-0.05985,0.007182,-9.805824,-9.806009,0.00213,-0.003195,0.00213,99665.44,25.6,0.016991,0.023258,,
1678.946905,0.010813,-0.067032,-0.016758,-9.824976,-9.825219,-0.001065,-0.00213,0,99665.44,25.6,-0.002219,0.004048,,
1678.958122,0.011218,-0.079002,-0.009576,-9.8154,-9.815723,0.001065,-0.00639,0.00213,99665.44,25.6,0.007277,0.013544,,
1678.969319,0.011197,-0.055062,-0.009576,-9.808218,-9.808377,0.00213,-0.00213,0.003195,99665.44,25.6,0.014623,0.02089,,
1678.980493,0.011174,-0.069426,-0.02394,-9.820188,-9.820463,-0.00213,-0.00213,0.003195,99665.44,25.6,0.002537,0.008804,,
1678.991663,0.01117,-0.057456,0.019152,-9.82737,-9.827557,0,-0.00639,0.001065,99665.44,25.6,-0.004557,0.00171,,
1679.002837,0.011174,-0.07182,-0.007182,-9.796248,-9.796514,0.00213,-0.00426,0.003195,99665.44,25.6,0.026486,0.032753,,
1679.014121,0.011284,-0.117306,0.002394,-9.808218,-9.80892,0.00213,-0.00213,0.00213,99665.44,25.6,0.01408,0.020347,,
1679.025247,0.011126,-0.090972,0.01197,-9.801036,-9.801465,0.00213,-0.00426,0.001065,99665.44,25.6,0.021535,0.027802,,
1679.036397,0.01115,-0.093366,0.014364,-9.83934,-9.839793,0.001065,-0.00639,0.005325,99665.52,25.6,-0.016793,-0.010526,,
1679.04759,0.011193,-0.05985,-0.007182,-9.836946,-9.837131,0.00213,-0.005325,0.001065,99665.52,25.6,-0.014131,-0.007864,,
1679.058842,0.011251,-0.064638,0.01197,-9.810612,-9.810832,0.003195,-0.00213,0.00213,99665.52,25.6,0.012168,0.018435,,
1679.070058,0.011216,-0.090972,0.004788,-9.8154,-9.815823,0.003195,-0.005325,0.001065,99665.52,25.6,0.007177,0.013444,,
1679.08112,0.011062,-0.076608,0.02394,-9.829764,-9.830092,0.001065,-0.005325,0.001065,99665.52,25.6,-0.007092,-0.000825,,
1679.092293,0.011173,-0.088578,0.002394,-9.822582,-9.822982,0.00426,-0.00639,-0.001065,99665.52,25.6,1.8E-05,0.006285,,
1679.10359,0.011297,-0.112518,0.009576,-9.822582,-9.823231,-0.001065,-0.003195,0.00213,99665.51,25.6,-0.000231,0.006036,,
1679.114849,0.011259,-0.076608,0.040698,-9.858492,-9.858874,0.003195,-0.00426,0.001065,99665.51,25.6,-0.035874,-0.029607,,
1679.125844,0.010995,-0.098154,0.026334,-9.841734,-9.842259,0.001065,-0.00852,-0.001065,99665.51,25.6,-0.019259,-0.012992,,
1679.137046,0.011202,-0.081396,0.002394,-9.822582,-9.82292,0.001065,-0.003195,0.00213,99665.51,25.6,8E-05,0.006347,,
1679.148294,0.011249,-0.08379,0.016758,-9.836946,-9.837317,0.001065,-0.00639,0,99665.51,25.6,-0.014317,-0.00805,,
1679.159488,0.011193,-0.100548,0.019152,-9.813006,-9.81354,0.001065,-0.003195,0.00213,99665.51,25.6,0.00946,0.015727,,
1679.170631,0.011144,-0.079002,0.002394,-9.82737,-9.827688,0.001065,-0.003195,0,99665.44,25.6,-0.004688,0.001579,,
1679.181819,0.011188,-0.069426,0,-9.808218,-9.808464,0.001065,-0.007455,0.00213,99665.44,25.6,0.014536,0.020803,,
1679.192979,0.011159,-0.081396,0.004788,-9.820188,-9.820526,0.00213,-0.00639,0.00213,99665.44,25.6,0.002474,0.008741,,
1679.204171,0.011193,-0.074214,0.028728,-9.82737,-9.827692,0.00213,-0.00639,0.001065,99665.44,25.6,-0.004692,0.001575,,
1679.215488,0.011316,-0.081396,0.026334,-9.817794,-9.818167,0.003195,-0.00639,0.003195,99665.44,25.6,0.004833,0.0111,,
1679.226552,0.011064,-0.045486,0,-9.805824,-9.805929,0.001065,-0.00426,0.00426,99665.41,25.6,0.017071,0.023338,,
1679.237708,0.011156,-0.076608,-0.004788,-9.841734,-9.842033,0.001065,-0.005325,0.00213,99665.41,25.6,-0.019033,-0.012766,,
1679.248869,0.011161,-0.074214,-0.007182,-9.846522,-9.846804,0.003195,-0.00426,0.001065,99665.41,25.6,-0.023804,-0.017537,,
1679.26015,0.011281,-0.074214,0.007182,-9.789066,-9.78935,0.003195,-0.005325,0.001065,99665.41,25.6,0.03365,0.039917,,
1679.271359,0.011208,-0.076608,0.002394,-9.834552,-9.834851,0.001065,-0.00639,0.001065,99665.41,25.6,-0.011851,-0.005584,,
