time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
1731.285664,0.01013,-0.067032,0.02394,-9.82737,-9.827628,0.003195,-0.005325,0.003195,99527,25.65,0.001639
1731.295786,0.010122,-0.074214,0.004788,-9.82737,-9.827651,0.00213,-0.00639,0,99527,25.65,0.001616
1731.305909,0.010123,-0.081396,0.038304,-9.79146,-9.791873,0.001065,-0.00426,0.001065,99527,25.65,0.037394
1731.316014,0.010106,-0.045486,-0.002394,-9.834552,-9.834657,0,-0.005325,-0.00213,99527.13,25.65,-0.00539
1731.326118,0.010103,-0.098154,0.02394,-9.829764,-9.830283,0,-0.00639,0.001065,99527.13,25.65,-0.001016
1731.336368,0.01025,-0.055062,0.007182,-9.793854,-9.794011,0.003195,-0.00639,0.001065,99527.13,25.65,0.035256
1731.346461,0.010094,-0.057456,0.014364,-9.817794,-9.817973,0.00213,-0.00639,0.003195,99527.13,25.65,0.011294
1731.356578,0.010117,-0.043092,0.026334,-9.856098,-9.856227,0.00213,-0.009585,0.00426,99527.13,25.65,-0.02696
1731.366713,0.010135,-0.07182,-0.004788,-9.860886,-9.861149,0,-0.00852,0.00213,99527.13,25.65,-0.031882
1731.376811,0.010098,-0.052668,0.004788,-9.841734,-9.841876,0.003195,-0.003195,0.00213,99527.13,25.65,-0.012609
1731.386932,0.010121,-0.076608,0.028728,-9.848916,-9.849256,0.00213,-0.005325,0.00213,99527.26,25.65,-0.019989
1731.397032,0.010101,-0.05985,0.007182,-9.8154,-9.815585,0.001065,-0.00639,0.001065,99527.26,25.65,0.013682
1731.407137,0.010105,-0.086184,0.002394,-9.824976,-9.825354,0.00213,-0.003195,0.003195,99527.26,25.65,0.003913
1731.41725,0.010113,-0.093366,-0.002394,-9.836946,-9.837389,0,-0.007455,0,99527.26,25.65,-0.008122
1731.427363,0.010113,-0.067032,0.004788,-9.82737,-9.8276,0,-0.003195,0.00213,99527.26,25.65,0.001667
1731.43752,0.010157,-0.088578,0,-9.841734,-9.842133,0.001065,-0.00639,0,99527.26,25.65,-0.012866
1731.447673,0.010153,-0.067032,-0.007182,-9.844128,-9.844359,0.001065,-0.00639,0.00213,99527.18,25.65,-0.015092
1731.457776,0.010103,-0.057456,-0.019152,-9.80343,-9.803617,0,-0.005325,0.001065,99527.18,25.65,0.02565
1731.467867,0.010091,-0.088578,0.031122,-9.813006,-9.813455,0.00213,-0.00639,0,99527.18,25.65,0.015812
1731.477969,0.010102,-0.08379,0.031122,-9.80343,-9.803837,0.001065,-0.007455,0.00213,99527.18,25.65,0.02543
1731.48807,0.010101,-0.100548,0.014364,-9.810612,-9.811138,0.003195,-0.005325,0.003195,99527.18,25.65,0.018129
1731.498248,0.010178,-0.081396,-0.009576,-9.822582,-9.822924,0.00213,-0.007455,0.001065,99527.18,25.65,0.006343
1731.508341,0.010093,-0.093366,0.002394,-9.813006,-9.81345,0.003195,-0.00852,0.003195,99527.18,25.65,0.015817
1731.518435,0.010095,-0.069426,0.007182,-9.784278,-9.784527,0.00213,-0.007455,0.003195,99527.18,25.65,0.04474
1731.528531,0.010096,-0.069426,-0.014364,-9.79146,-9.791717,0.001065,-0.005325,0.001065,99527.18,25.65,0.03755
1731.538621,0.01009,-0.07182,0.040698,-9.813006,-9.813353,0,-0.005325,0.001065,99527.18,25.65,0.015914
1731.548802,0.010181,-0.076608,-0.021546,-9.801036,-9.801359,0.001065,-0.00213,0.003195,99527.18,25.65,0.027908
1731.558897,0.010095,-0.090972,0.002394,-9.822582,-9.823004,0.001065,-0.00639,0.001065,99527.18,25.65,0.006263
1731.569039,0.010142,-0.074214,0.043092,-9.8154,-9.815775,0.003195,-0.00639,0.00213,99527.26,25.65,0.013492
1731.579133,0.010094,-0.052668,0,-9.822582,-9.822723,0,-0.00426,0.001065,99527.26,25.65,0.006544
1731.58927,0.010137,-0.10773,0.028728,-9.801036,-9.80167,0,-0.00852,0.00213,99527.26,25.65,0.027597
1731.599368,0.010098,-0.040698,-0.009576,-9.8154,-9.815489,0.003195,-0.005325,0.00213,99527.26,25.65,0.013778
1731.609465,0.010097,-0.064638,0.009576,-9.82737,-9.827587,0.001065,-0.00213,0.00426,99527.26,25.65,0.00168
1731.619622,0.010158,-0.074214,0.014364,-9.829764,-9.830055,0.001065,-0.00639,0.001065,99527.26,25.65,-0.000788
1731.629737,0.010115,-0.04788,0.019152,-9.824976,-9.825111,0.001065,-0.00639,0.003195,99527.26,25.65,0.004156
1731.639834,0.010097,-0.079002,0.009576,-9.798642,-9.798965,0,-0.00639,0.005325,99527.27,25.65,0.030302
1731.649922,0.010089,-0.067032,0.026334,-9.868068,-9.868331,-0.001065,-0.00639,0.001065,99527.27,25.65,-0.039064
1731.660017,0.010095,-0.062244,0.014364,-9.793854,-9.794062,0.00213,-0.00426,0.001065,99527.27,25.65,0.035205
