time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
119.295317,0.010108,0.002394,-0.086184,-9.820188,-9.820566,0.001065,-0.00426,0.00426,98991.37,25.94,0.003228359,0.008701,,,,
119.305445,0.010129,-0.004788,-0.076608,-9.82737,-9.82767,-0.001065,-0.005325,0.003195,98991.37,25.94,-0.003875641,0.001597,,,,
119.315537,0.010092,-0.01197,-0.093366,-9.836946,-9.837396,0.003195,-0.005325,0.001065,98991.37,25.94,-0.013601641,-0.008129,,,,
119.32563,0.010093,-0.009576,-0.090972,-9.844128,-9.844553,0,-0.003195,0.001065,98991.37,25.94,-0.020758641,-0.015286,,,,
119.336298,0.010667,-0.02394,-0.043092,-9.813006,-9.81313,0.00213,-0.003195,0.00426,98991.37,25.94,0.010664359,0.016137,,,,
119.34642,0.010122,-0.016758,-0.069426,-9.82737,-9.82763,0,-0.00426,0.003195,98991.37,25.94,-0.003835641,0.001637,,,,
119.356509,0.010089,-0.038304,-0.067032,-9.834552,-9.834855,0.00213,-0.00426,0.001065,98991.41,25.94,-0.011060641,-0.005588,,,,
119.366615,0.010106,0.014364,-0.067032,-9.808218,-9.808458,0.001065,-0.00426,0.00213,98991.41,25.94,0.015336359,0.020809,,,,
119.376872,0.010257,-0.009576,-0.08379,-9.8154,-9.815762,0.001065,-0.00639,0.00426,98991.41,25.94,0.008032359,0.013505,,,,
119.386964,0.010092,-0.055062,-0.064638,-9.822582,-9.822949,0.001065,-0.003195,0.003195,98991.41,25.94,0.000845359,0.006318,,,,
119.397062,0.010097,0,-0.079002,-9.80343,-9.803748,0.003195,-0.005325,0.001065,98991.41,25.94,0.020046359,0.025519,,,,
119.407147,0.010086,-0.019152,-0.064638,-9.810612,-9.810844,0,-0.005325,0.003195,98991.41,25.94,0.012950359,0.018423,,,,
119.417251,0.010104,-0.05985,-0.064638,-9.844128,-9.844522,0.001065,-0.00639,0.003195,98991.41,25.94,-0.020727641,-0.015255,,,,
119.427419,0.010168,0.007182,-0.086184,-9.8154,-9.815781,0.00426,-0.00426,0.003195,98991.41,25.94,0.008013359,0.013486,,,,
119.437737,0.010318,-0.019152,-0.062244,-9.820188,-9.820404,0.001065,-0.005325,0.003195,98991.41,25.94,0.003390359,0.008863,,,,
119.448095,0.010358,-0.016758,-0.081396,-9.83934,-9.839691,0.00213,-0.005325,0.001065,98991.41,25.94,-0.015896641,-0.010424,,,,
119.458194,0.010099,-0.009576,-0.093366,-9.824976,-9.825424,0.00213,-0.005325,0.00213,98991.41,25.94,-0.001629641,0.003843,,,,
119.46829,0.010096,-0.076608,-0.074214,-9.810612,-9.811192,0.003195,-0.007455,0.00213,98991.41,25.94,0.012602359,0.018075,,,,
119.478412,0.010123,-0.031122,-0.098154,-9.82737,-9.827909,-0.001065,-0.00426,-0.00213,98991.41,25.94,-0.004114641,0.001358,,,,
119.48853,0.010118,-0.03591,-0.102942,-9.820188,-9.820793,0.00213,-0.00426,0.003195,98991.41,25.94,0.003001359,0.008474,,,,
