time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
1680.34496,0.011137,-0.079002,0.004788,-9.834552,-9.83487,0.001065,-0.005325,0.003195,99665.01,25.6,-0.005603
1680.356349,0.011389,-0.08379,0.007182,-9.820188,-9.820548,0,-0.003195,0.001065,99665.01,25.6,0.008719
1680.368262,0.011912,-0.079002,0.026334,-9.848916,-9.849268,-0.001065,-0.005325,0.003195,99665.01,25.6,-0.020001
1680.37864,0.010379,-0.09576,0.007182,-9.808218,-9.808688,0,-0.00426,0,99665,25.6,0.020579
1680.389779,0.011139,-0.079002,-0.007182,-9.822582,-9.822902,0.001065,-0.005325,0.001065,99665,25.6,0.006365
1680.400909,0.011129,-0.064638,0.028728,-9.853704,-9.853958,0.001065,-0.007455,0.00213,99665,25.6,-0.024691
1680.412142,0.011234,-0.100548,0,-9.83934,-9.839854,0.00213,-0.005325,0.003195,99665,25.6,-0.010587
1680.423428,0.011285,-0.07182,0.007182,-9.83934,-9.839605,0.003195,-0.005325,0.00213,99665,25.6,-0.010338
1680.435331,0.011903,-0.079002,0.014364,-9.820188,-9.820516,0.00213,-0.00426,0.001065,99665,25.6,0.008751
1680.445678,0.010347,-0.04788,0.002394,-9.82737,-9.827487,0.00213,-0.005325,0.00426,99665.04,25.6,0.00178
1680.456892,0.011214,-0.100548,0.016758,-9.8154,-9.815929,0.001065,-0.00213,0,99665.04,25.6,0.013338
1680.468081,0.011189,-0.07182,0.002394,-9.810612,-9.810875,-0.001065,-0.003195,-0.001065,99665.04,25.6,0.018392
1680.479284,0.011203,-0.076608,0.002394,-9.841734,-9.842032,0.001065,-0.00426,0.00426,99665.04,25.6,-0.012765
1680.490419,0.011135,-0.052668,0.014364,-9.801036,-9.801188,0.003195,-0.00426,0.00426,99665.04,25.6,0.028079
1680.501639,0.01122,-0.074214,-0.007182,-9.824976,-9.825259,-0.001065,-0.005325,0,99665.01,25.6,0.004008
1680.512733,0.011095,-0.076608,-0.016758,-9.801036,-9.80135,0.00213,-0.005325,0.003195,99665.01,25.6,0.027917
1680.524038,0.011305,-0.105336,0.004788,-9.844128,-9.844693,0,-0.003195,0.001065,99665.01,25.6,-0.015426
1680.535221,0.011183,-0.08379,0.028728,-9.801036,-9.801436,0.001065,0,0.001065,99665.01,25.6,0.027831
1680.546323,0.011101,-0.069426,0.028728,-9.781884,-9.782173,0.001065,-0.00639,0.00426,99665.01,25.6,0.047094
1680.557516,0.011193,-0.069426,0.026334,-9.832158,-9.832438,0.003195,-0.003195,0.003195,99665.01,25.6,-0.003171
1680.568812,0.011296,-0.08379,0.04788,-9.781884,-9.78236,0.001065,-0.00639,0.001065,99664.98,25.6,0.046907
1680.579917,0.011104,-0.057456,0.002394,-9.82737,-9.827538,0.001065,-0.00426,0.00213,99664.98,25.6,0.001729
1680.591065,0.011148,-0.088578,0.002394,-9.86328,-9.863678,0.003195,-0.00213,0.001065,99664.98,25.6,-0.034411
1680.60227,0.011205,-0.064638,0.02394,-9.820188,-9.82043,0.001065,-0.007455,0.005325,99664.98,25.6,0.008837
1680.613551,0.011281,-0.07182,0.031122,-9.824976,-9.825288,0,-0.00426,0.001065,99664.98,25.6,0.003979
1680.624614,0.011063,-0.079002,0.007182,-9.829764,-9.830084,0.001065,-0.003195,0.003195,99664.98,25.6,-0.000817
1680.636787,0.012173,-0.052668,0.028728,-9.832158,-9.832341,-0.001065,-0.005325,0.001065,99664.98,25.6,-0.003074
1680.647043,0.010256,-0.102942,0.002394,-9.829764,-9.830303,0.00213,-0.00426,0.003195,99664.98,25.6,-0.001036
1680.658201,0.011158,-0.08379,0.04788,-9.824976,-9.82545,0,-0.00426,0.003195,99664.98,25.6,0.003817
1680.66942,0.011219,-0.081396,-0.004788,-9.822582,-9.82292,0.00213,-0.005325,0.00426,99664.98,25.6,0.006347
1680.680571,0.011151,-0.079002,0.004788,-9.82737,-9.827689,0.00213,-0.00639,0.003195,99664.98,25.6,0.001578
1680.691815,0.011244,-0.055062,0.009576,-9.810612,-9.810771,0.00213,-0.003195,0.00213,99664.98,25.6,0.018496
1680.702924,0.011109,-0.074214,0.007182,-9.817794,-9.818077,0,-0.005325,0.00426,99664.93,25.6,0.01119
1680.714227,0.011303,-0.081396,-0.009576,-9.834552,-9.834893,0.001065,-0.003195,0,99664.93,25.6,-0.005626
1680.725284,0.011057,-0.07182,0.014364,-9.846522,-9.846794,0.003195,-0.005325,0.00426,99664.93,25.6,-0.017527
1680.736575,0.011291,-0.088578,0.01197,-9.834552,-9.834958,0.00213,-0.005325,0.001065,99664.93,25.6,-0.005691
1680.747731,0.011156,-0.057456,-0.02394,-9.856098,-9.856295,0.00213,-0.005325,0.00213,99664.93,25.6,-0.027028
1680.75891,0.011179,-0.05985,0.02394,-9.808218,-9.80843,0,-0.003195,0.00213,99664.93,25.6,0.020837
1680.770005,0.011095,-0.057456,-0.014364,-9.798642,-9.798821,0.001065,-0.005325,0.00213,99664.93,25.6,0.030446
1680.781183,0.011177,-0.05985,-0.002394,-9.829764,-9.829946,0.001065,-0.00426,0,99664.93,25.6,-0.000679
1680.792394,0.011212,-0.114912,-0.007182,-9.79146,-9.792137,0.001065,-0.00426,0.003195,99664.93,25.6,0.03713
1680.803588,0.011194,-0.090972,0.002394,-9.813006,-9.813428,0.001065,-0.003195,0.001065,99664.93,25.6,0.015839
1680.814839,0.011251,-0.079002,0.009576,-9.8154,-9.815723,0,-0.003195,0.005325,99664.93,25.6,0.013544
1680.826071,0.011232,-0.062244,0.004788,-9.796248,-9.796447,0.00213,-0.00426,0.005325,99664.85,25.6,0.03282
1680.83721,0.011139,-0.074214,0.007182,-9.834552,-9.834835,0.00213,-0.003195,0.003195,99664.85,25.6,-0.005568
1680.848308,0.011098,-0.086184,0.02394,-9.805824,-9.806232,0.001065,-0.00426,0,99664.85,25.6,0.023035
1680.859568,0.011261,-0.081396,0.021546,-9.836946,-9.837306,0.003195,-0.00426,0,99664.85,25.6,-0.008039
1680.870724,0.011155,-0.074214,0.007182,-9.820188,-9.820471,0.001065,-0.00213,0.00213,99664.85,25.6,0.008796
1680.881855,0.011131,-0.09576,-0.004788,-9.817794,-9.818262,0.00213,-0.00639,0.00213,99664.85,25.6,0.011005
1680.893056,0.011201,-0.067032,0.014364,-9.836946,-9.837185,0.00213,-0.00426,0.00213,99664.89,25.6,-0.007918
1680.904284,0.011228,-0.093366,0.021546,-9.832158,-9.832625,0.00213,-0.00426,0.003195,99664.89,25.6,-0.003358
1680.91557,0.011286,-0.08379,0.019152,-9.8154,-9.815776,0.005325,-0.003195,0.001065,99664.89,25.6,0.013491
1680.926573,0.011003,-0.07182,0.021546,-9.841734,-9.84202,0.001065,-0.00213,0.00213,99664.89,25.6,-0.012753
1680.937843,0.01127,-0.112518,0.004788,-9.822582,-9.823228,0.00213,-0.005325,0,99664.89,25.6,0.006039
1680.950039,0.012196,-0.08379,0.050274,-9.82737,-9.827856,0.001065,-0.003195,0.001065,99664.89,25.6,0.001411
1680.960201,0.010162,-0.086184,-0.01197,-9.805824,-9.80621,0,-0.00426,0.001065,99664.89,25.6,0.023057
1680.971365,0.011163,-0.055062,0.002394,-9.796248,-9.796403,0.00213,-0.00639,0.001065,99664.89,25.6,0.032864
1680.982538,0.011174,-0.074214,0,-9.8154,-9.815681,-0.001065,-0.00213,-0.001065,99664.89,25.6,0.013586
1680.993717,0.011179,-0.043092,0.009576,-9.817794,-9.817893,0.003195,-0.00426,0.003195,99664.89,25.6,0.011374
1681.004977,0.01126,-0.081396,0.021546,-9.836946,-9.837306,0.00213,-0.00639,0.003195,99664.89,25.6,-0.008039
1681.016172,0.011195,-0.074214,0.019152,-9.813006,-9.813305,0.003195,-0.005325,0.001065,99664.89,25.6,0.015962
1681.027285,0.011113,-0.04788,0.043092,-9.829764,-9.829975,0.001065,-0.00639,0.003195,99664.89,25.6,-0.000708
1681.038468,0.011183,-0.064638,0.007182,-9.844128,-9.844343,0.00213,-0.00213,0.003195,99664.89,25.6,-0.015076
1681.049612,0.011144,-0.08379,0.01197,-9.829764,-9.830128,0,-0.00426,0.001065,99664.89,25.6,-0.000861
1681.060839,0.011227,-0.090972,0.014364,-9.829764,-9.830195,0.00426,-0.005325,0.003195,99664.89,25.6,-0.000928
1681.072009,0.011171,-0.074214,0.007182,-9.824976,-9.825259,0.001065,-0.00639,0.00213,99664.89,25.6,0.004008
1681.083295,0.011286,-0.079002,0.004788,-9.824976,-9.825295,0.001065,-0.003195,0.001065,99664.81,25.6,0.003972
1681.094424,0.011129,-0.112518,-0.004788,-9.820188,-9.820834,0,-0.005325,0.003195,99664.81,25.6,0.008433
1681.105537,0.011113,-0.086184,0.040698,-9.846522,-9.846983,0,-0.00213,-0.00213,99664.81,25.6,-0.017716
1681.116742,0.011205,-0.08379,0.040698,-9.832158,-9.832599,0.00213,-0.005325,0,99664.81,25.6,-0.003332
1681.127932,0.01119,-0.052668,0.014364,-9.829764,-9.829916,0.005325,-0.005325,0.00213,99664.81,25.6,-0.000649
1681.139156,0.011224,-0.067032,0.01197,-9.80343,-9.803666,0,-0.00426,0.003195,99664.81,25.6,0.025601
1681.150343,0.011186,-0.07182,0.021546,-9.820188,-9.820474,0.00213,-0.00426,0.001065,99664.79,25.6,0.008793
1681.161528,0.011186,-0.057456,-0.007182,-9.817794,-9.817965,0.00213,-0.00213,0.00213,99664.79,25.6,0.011302
1681.172711,0.011183,-0.074214,0.016758,-9.832158,-9.832452,-0.001065,-0.00426,0.00213,99664.79,25.6,-0.003185
1681.18406,0.011349,-0.076608,0.016758,-9.813006,-9.813319,0.001065,-0.003195,0.005325,99664.79,25.6,0.015948
1681.195356,0.011296,-0.079002,0.004788,-9.846522,-9.84684,0.001065,-0.003195,-0.00213,99664.79,25.6,-0.017573
1681.206245,0.010889,-0.117306,-0.009576,-9.79146,-9.792167,0.001065,-0.00426,0.003195,99664.87,25.6,0.0371
1681.217643,0.011398,-0.088578,0.007182,-9.817794,-9.818196,0.001065,-0.00639,0.003195,99664.87,25.6,0.011071
1681.22867,0.011027,-0.08379,0.021546,-9.834552,-9.834933,0,-0.00213,0.00213,99664.87,25.6,-0.005666
1681.239794,0.011124,-0.064638,0.007182,-9.846522,-9.846737,0.001065,-0.00426,0.00213,99664.87,25.6,-0.01747
1681.251033,0.011238,-0.079002,0.007182,-9.820188,-9.820508,0.00213,-0.003195,0.00213,99664.87,25.6,0.008759
1681.262336,0.011304,-0.081396,0.016758,-9.83934,-9.839691,0,-0.007455,0.00213,99664.87,25.6,-0.010424
1681.273339,0.011003,-0.086184,-0.014364,-9.832158,-9.832546,0.00213,-0.005325,0,99664.79,25.6,-0.003279
1681.283422,0.010082,-0.081396,0.01197,-9.77949,-9.779836,0.001065,-0.003195,0.00213,99664.79,25.6,0.049431
1681.293558,0.010136,-0.07182,0.031122,-9.836946,-9.837257,0.001065,-0.005325,0.003195,99664.79,25.6,-0.00799
1681.303664,0.010106,-0.086184,-0.002394,-9.83934,-9.839718,0,-0.00426,0.00213,99664.79,25.6,-0.010451
1681.313767,0.010103,-0.067032,0.009576,-9.820188,-9.820421,-0.001065,-0.00639,0.001065,99664.79,25.6,0.008846
1681.323865,0.010098,-0.098154,-0.004788,-9.83934,-9.839831,0.00426,-0.00426,0.005325,99664.79,25.6,-0.010564
1681.334087,0.010222,-0.067032,0.009576,-9.829764,-9.829997,0.003195,-0.00426,0.00213,99664.79,25.6,-0.00073
1681.344178,0.010091,-0.064638,-0.019152,-9.810612,-9.810844,0.001065,-0.00426,-0.003195,99664.79,25.6,0.018423
1681.354313,0.010135,-0.088578,-0.002394,-9.820188,-9.820588,0.001065,-0.00426,0.00213,99664.79,25.6,0.008679
1681.364407,0.010094,-0.033516,0.002394,-9.810612,-9.81067,0.003195,-0.00639,0.00213,99664.79,25.6,0.018597
1681.374647,0.01024,-0.079002,0.009576,-9.820188,-9.82051,0.005325,-0.00426,0.00213,99664.79,25.6,0.008757
