time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
1943.911394,0.011131,-0.050274,-0.019152,-9.83934,-9.839487,0,-0.00213,0.00426,99080.55,25.76,-0.01022
1943.922608,0.011214,-0.074214,0.026334,-9.83934,-9.839655,0.003195,-0.005325,0.001065,99080.55,25.76,-0.010388
1943.933929,0.011321,-0.074214,0.004788,-9.82737,-9.827651,0.001065,-0.003195,0.001065,99080.55,25.76,0.001616
1943.944937,0.011008,-0.05985,0.004788,-9.836946,-9.837129,0.003195,-0.00852,0.003195,99080.55,25.76,-0.007862
1943.95648,0.011543,-0.09576,0.009576,-9.805824,-9.806296,0.001065,-0.00639,-0.001065,99080.55,25.76,0.022971
1943.967451,0.010971,-0.055062,-0.009576,-9.808218,-9.808377,0.00213,-0.005325,0.005325,99080.55,25.76,0.02089
1943.978684,0.011233,-0.081396,-0.002394,-9.844128,-9.844465,0.00213,-0.005325,0.00213,99080.55,25.76,-0.015198
1943.989682,0.010998,-0.093366,-0.007182,-9.832158,-9.832604,0.00213,-0.005325,0.001065,99080.55,25.76,-0.003337
1944.000949,0.011268,-0.079002,0.009576,-9.829764,-9.830086,0.00213,-0.00639,0.00213,99080.55,25.76,-0.000819
1944.012252,0.011302,-0.098154,0.021546,-9.832158,-9.832672,0,-0.005325,0.00213,99080.47,25.76,-0.003405
1944.023427,0.011176,-0.064638,0.007182,-9.8154,-9.815615,0.003195,-0.00426,0.00213,99080.47,25.76,0.013652
1944.034541,0.011114,-0.100548,0.007182,-9.820188,-9.820705,0.001065,-0.005325,0.00213,99080.47,25.76,0.008562
1944.0456,0.011059,-0.102942,0.02394,-9.820188,-9.820757,0.001065,-0.007455,0.00213,99080.47,25.76,0.00851
1944.056811,0.01121,-0.07182,0.01197,-9.822582,-9.822852,0.001065,-0.003195,0,99080.47,25.76,0.006415
1944.068143,0.011333,-0.086184,0,-9.810612,-9.810991,0.00213,-0.00639,0.003195,99080.47,25.76,0.018276
1944.079241,0.011098,-0.08379,0.016758,-9.841734,-9.842105,0.001065,-0.005325,0.003195,99080.46,25.76,-0.012838
1944.090353,0.011112,-0.081396,0.007182,-9.834552,-9.834891,0.001065,-0.007455,0.00213,99080.46,25.76,-0.005624
1944.101532,0.01118,-0.09576,0.002394,-9.824976,-9.825443,0.00213,-0.007455,0,99080.46,25.76,0.003824
1944.112711,0.011179,-0.07182,0.007182,-9.834552,-9.834817,-0.001065,-0.005325,-0.001065,99080.46,25.76,-0.00555
1944.123924,0.011212,-0.100548,0.002394,-9.801036,-9.801552,0.001065,-0.00426,0.00213,99080.46,25.76,0.027715
1944.135214,0.01129,-0.086184,0.002394,-9.8154,-9.815779,-0.001065,-0.003195,0,99080.46,25.76,0.013488
1944.14631,0.011096,-0.086184,0.007182,-9.813006,-9.813387,0.003195,-0.00639,0.003195,99080.54,25.76,0.01588
1944.157442,0.011133,-0.074214,0.02394,-9.822582,-9.822892,0.001065,-0.00426,0,99080.54,25.76,0.006375
1944.168659,0.011216,-0.08379,0.016758,-9.808218,-9.80859,0.003195,-0.00213,0,99080.54,25.76,0.020677
1944.179922,0.011263,-0.079002,0.004788,-9.824976,-9.825295,0,-0.00639,0,99080.54,25.76,0.003972
1944.1911,0.011178,-0.081396,0.007182,-9.820188,-9.820528,0.001065,-0.005325,0.001065,99080.54,25.76,0.008739
1944.202317,0.011217,-0.04788,0.021546,-9.822582,-9.822722,0.005325,-0.00639,0.00426,99080.54,25.76,0.006545
1944.213369,0.011051,-0.076608,-0.007182,-9.832158,-9.832459,0.001065,-0.00639,-0.001065,99080.55,25.76,-0.003192
1944.224552,0.011183,-0.093366,0.004788,-9.8154,-9.815845,0,-0.003195,0.00213,99080.55,25.76,0.013422
1944.235835,0.011283,-0.08379,0.01197,-9.801036,-9.801401,-0.001065,-0.00639,0,99080.55,25.76,0.027866
1944.246957,0.011122,-0.102942,0.028728,-9.82737,-9.827951,0,-0.00426,0.00213,99080.55,25.76,0.001316
1944.258175,0.011218,-0.102942,0.021546,-9.786672,-9.787237,0.005325,-0.00639,0.00213,99080.55,25.76,0.04203
1944.269293,0.011118,-0.114912,0.007182,-9.801036,-9.801712,0.003195,-0.007455,0.00213,99080.55,25.76,0.027555
1944.280513,0.01122,-0.088578,0.009576,-9.80343,-9.803835,0.001065,-0.007455,0,99080.55,25.76,0.025432
1944.291715,0.011203,-0.08379,0.01197,-9.832158,-9.832522,0.00213,-0.005325,0.001065,99080.55,25.76,-0.003255
1944.302906,0.011191,-0.062244,-0.014364,-9.820188,-9.820396,0,-0.00639,0.003195,99080.55,25.76,0.008871
1944.314071,0.011165,-0.05985,-0.016758,-9.817794,-9.817991,0,-0.00426,0,99080.55,25.76,0.011276
1944.325321,0.01125,-0.062244,0.009576,-9.844128,-9.844329,0.001065,-0.005325,-0.001065,99080.55,25.76,-0.015062
1944.336683,0.011362,-0.093366,0.014364,-9.805824,-9.806279,0,-0.007455,0.003195,99080.66,25.76,0.022988
1944.347688,0.011005,-0.074214,-0.02394,-9.798642,-9.798952,0.001065,-0.005325,0.00426,99080.66,25.76,0.030315
1944.35879,0.011101,-0.100548,0.004788,-9.813006,-9.813522,-0.001065,-0.00426,0.001065,99080.66,25.76,0.015745
1944.369942,0.011152,-0.05985,0.031122,-9.805824,-9.806056,0.00426,-0.003195,0.00213,99080.66,25.76,0.023211
1944.381189,0.011247,-0.031122,-0.031122,-9.817794,-9.817893,0.00213,-0.007455,0.00426,99080.66,25.76,0.011374
