time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag
1709.026219,0.010206,-0.050274,-0.033516,-9.829764,-9.82995,0.00213,-0.00639,0.003195,99611.91,25.63,-0.000683
1709.036311,0.010092,-0.057456,-0.01197,-9.824976,-9.825151,0.00426,-0.007455,0.00426,99611.91,25.63,0.004116
1709.046399,0.010088,-0.062244,-0.01197,-9.805824,-9.806029,0,-0.00426,0.005325,99611.91,25.63,0.023238
1709.057002,0.010603,-0.076608,0.009576,-9.801036,-9.80134,0.00213,-0.007455,0.003195,99611.91,25.63,0.027927
1709.067112,0.01011,-0.09576,0.016758,-9.798642,-9.799124,0.00213,-0.00639,0.00213,99611.91,25.63,0.030143
1709.077212,0.010099,-0.052668,0.043092,-9.834552,-9.834787,0.001065,-0.00426,0.00426,99611.91,25.63,-0.00552
1709.0873,0.010088,-0.074214,0,-9.8154,-9.815681,0.00213,-0.005325,0.00213,99611.91,25.63,0.013586
1709.097413,0.010113,-0.081396,0.004788,-9.820188,-9.820526,0.003195,-0.003195,0.00213,99611.91,25.63,0.008741
1709.110448,0.013035,-0.079002,0.045486,-9.844128,-9.84455,0.00213,-0.005325,0.003195,99611.91,25.63,-0.015283
1709.120556,0.010108,-0.07182,0.009576,-9.817794,-9.818061,0.001065,-0.003195,-0.001065,99611.91,25.63,0.011206
1709.130644,0.010088,-0.086184,0.04788,-9.822582,-9.823077,0.00213,-0.005325,0.00213,99611.91,25.63,0.00619
1709.14073,0.010086,-0.09576,0.019152,-9.856098,-9.856582,0.00213,-0.00426,0,99611.91,25.63,-0.027315
1709.150814,0.010084,-0.086184,0.04788,-9.820188,-9.820683,0.00213,-0.00639,0.00213,99611.96,25.63,0.008584
1709.160921,0.010107,-0.110124,0.026334,-9.832158,-9.83281,0.001065,-0.003195,-0.001065,99611.96,25.63,-0.003543
1709.171053,0.010132,-0.098154,0.02394,-9.836946,-9.837465,0.003195,-0.007455,0.001065,99611.96,25.63,-0.008198
1709.181151,0.010098,-0.08379,0.014364,-9.822582,-9.82295,0.001065,-0.00213,0.001065,99611.96,25.63,0.006317
1709.191258,0.010107,-0.102942,-0.009576,-9.82737,-9.827914,0.001065,-0.007455,0.00213,99611.96,25.63,0.001353
1709.201376,0.010118,-0.076608,0.01197,-9.824976,-9.825282,-0.001065,-0.005325,0,99611.96,25.63,0.003985
1709.211455,0.01008,-0.079002,-0.021546,-9.79146,-9.791802,0.00213,-0.00426,-0.001065,99612.01,25.63,0.037465
1709.221536,0.010081,-0.052668,-0.033516,-9.83934,-9.839538,0.00213,-0.007455,0.003195,99612.01,25.63,-0.010271
1709.231874,0.010338,-0.076608,-0.016758,-9.820188,-9.820501,0.00213,-0.005325,0.00213,99612.01,25.63,0.008766
1709.24196,0.010085,-0.074214,-0.038304,-9.810612,-9.810967,0.001065,-0.00639,0.00426,99612.01,25.63,0.0183
1709.252072,0.010113,-0.074214,-0.016758,-9.820188,-9.820483,0.00213,-0.007455,0.003195,99612.01,25.63,0.008784
1709.26223,0.010158,-0.081396,0.002394,-9.822582,-9.82292,0,-0.00213,0.00213,99612.01,25.63,0.006347
1709.272326,0.010096,-0.055062,-0.01197,-9.817794,-9.817956,0.001065,-0.00639,0.001065,99611.96,25.63,0.011311
1709.282412,0.010086,-0.057456,0.016758,-9.841734,-9.841916,0.001065,-0.007455,0.003195,99611.96,25.63,-0.012649
1709.292542,0.01013,-0.093366,0.021546,-9.824976,-9.825443,0,-0.00426,0.001065,99611.96,25.63,0.003824
1709.302744,0.010202,-0.057456,0.02394,-9.796248,-9.796446,0.001065,-0.00639,0.00426,99611.96,25.63,0.032821
1709.312843,0.010099,-0.086184,-0.01197,-9.805824,-9.80621,0.003195,-0.005325,0.00213,99611.96,25.63,0.023057
1709.323103,0.01026,-0.090972,0.02394,-9.820188,-9.820639,0.003195,-0.00639,0.003195,99611.96,25.63,0.008628
1709.333517,0.010414,-0.07182,-0.004788,-9.829764,-9.830028,0,-0.00426,0.003195,99612.03,25.63,-0.000761
1709.343608,0.010091,-0.081396,0.02394,-9.836946,-9.837312,0.001065,-0.00852,0.003195,99612.03,25.63,-0.008045
1709.353709,0.010101,-0.031122,0.014364,-9.841734,-9.841794,0.00213,-0.00426,0.00213,99612.03,25.63,-0.012527
1709.363792,0.010084,-0.081396,0.009576,-9.834552,-9.834893,0.00213,-0.007455,0.001065,99612.03,25.63,-0.005626
1709.373888,0.010096,-0.076608,0.021546,-9.834552,-9.834874,0.00213,-0.001065,0.001065,99612.03,25.63,-0.005607
1709.383984,0.010095,-0.100548,0.043092,-9.832158,-9.832767,0.00213,-0.007455,0,99612.03,25.63,-0.0035
1709.394277,0.010293,-0.09576,0.01197,-9.80343,-9.803905,0.00213,-0.005325,0.001065,99612.03,25.63,0.025362
1709.404373,0.010096,-0.067032,0.009576,-9.813006,-9.81324,-0.001065,-0.00639,0,99611.93,25.63,0.016027
1709.41487,0.010496,-0.093366,0.014364,-9.824976,-9.82543,0.00213,-0.007455,0.003195,99611.93,25.63,0.003837
