time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,,
39.757778,0.010187,-0.005382,-0.03289,-9.655906,-9.655964,-0.00213,-0.003195,0.001065,99140.43,33.46,0.00262104,-9.65858504
39.768455,0.010677,0.043654,-0.030498,-9.631986,-9.632133,-0.00639,-0.00639,0.001065,99140.43,33.46,0.02645204,
39.779438,0.010983,0.024518,-0.040066,-9.63976,-9.639874,-0.003195,-0.007455,0.003195,99140.43,33.46,0.01871104,
39.790635,0.011197,0.002392,-0.019734,-9.658896,-9.658916,-0.00426,-0.005325,-0.001065,99140.43,33.46,-0.00033096,
39.801756,0.011121,0.03588,-0.040664,-9.652916,-9.653068,-0.005325,-0.007455,0,99140.43,33.46,0.00551704,
39.812935,0.011179,-0.004186,-0.04784,-9.654112,-9.654231,-0.00426,-0.00852,-0.001065,99140.43,33.46,0.00435404,
39.825092,0.012157,-0.007176,-0.00897,-9.676836,-9.676843,-0.005325,-0.005325,0.00213,99140.43,33.46,-0.01825796,
39.835434,0.010342,0.031694,-0.033488,-9.666072,-9.666182,-0.00426,-0.009585,0.00213,99140.63,33.46,-0.00759696,
39.84653,0.011095,-0.000598,-0.024518,-9.640358,-9.640389,-0.00426,-0.00426,0.00213,99140.63,33.46,0.01819604,
39.857782,0.011253,-0.019734,-0.013754,-9.640358,-9.640388,-0.00639,-0.005325,0,99140.63,33.46,0.01819704,
39.868881,0.011099,0.033488,-0.03887,-9.653514,-9.65365,-0.005325,-0.009585,-0.00213,99140.63,33.46,0.00493504,
39.88007,0.011189,0.00897,-0.024518,-9.639162,-9.639197,-0.00426,-0.00426,0.001065,99140.63,33.46,0.01938804,
39.89124,0.011169,0.018538,-0.061594,-9.659494,-9.659708,-0.001065,-0.005325,-0.001065,99140.63,33.46,-0.00112296,
39.902463,0.011223,0.021528,-0.039468,-9.692982,-9.693086,-0.005325,-0.00852,0.001065,99140.63,33.46,-0.03450096,
39.913796,0.011333,-0.031096,-0.028106,-9.634378,-9.634469,-0.00213,-0.005325,-0.001065,99140.63,33.46,0.02411604,
39.924995,0.011199,0.002392,-0.058006,-9.633182,-9.633357,-0.005325,-0.00639,0,99140.63,33.46,0.02522804,
39.936355,0.011361,0.009568,-0.037674,-9.67265,-9.672728,-0.00426,-0.00852,-0.001065,99140.63,33.46,-0.01414296,
39.947238,0.010883,-0.02691,-0.040066,-9.64275,-9.642871,-0.005325,-0.00426,-0.001065,99140.82,33.46,0.01571404,
39.958345,0.011107,0.004784,-0.042458,-9.671454,-9.671548,-0.00639,-0.00639,0,99140.82,33.46,-0.01296296,
39.969506,0.011161,0.010764,-0.025714,-9.657102,-9.657142,-0.005325,-0.00639,0.001065,99140.82,33.46,0.00144304,
39.980755,0.011249,0.021528,-0.032292,-9.63378,-9.633858,-0.00213,-0.00639,0,99140.82,33.46,0.02472704,
39.992064,0.011309,0.034684,-0.037076,-9.691188,-9.691321,-0.005325,-0.007455,0,99140.82,33.46,-0.03273596,
40.00314,0.011076,0.025116,-0.02392,-9.678032,-9.678094,-0.00426,-0.009585,0.00213,99140.82,33.46,-0.01950896,
40.014254,0.011114,0.019734,-0.040066,-9.664876,-9.664979,-0.00426,-0.003195,0,99140.82,33.46,-0.00639396,
40.025663,0.01141,-0.003588,-0.036478,-9.688198,-9.688267,-0.00639,-0.00852,0,99140.82,33.46,-0.02968196,
40.036694,0.011031,0.030498,-0.010764,-9.692384,-9.692438,-0.003195,-0.00639,0.00213,99140.82,33.46,-0.03385296,
40.047855,0.011161,0.034086,-0.049634,-9.666072,-9.66626,-0.005325,-0.00639,-0.001065,99140.82,33.46,-0.00767496,
40.059062,0.011207,0.007774,-0.030498,-9.668464,-9.668515,-0.003195,-0.00639,0,99141.16,33.46,-0.00992996,
40.070227,0.011165,0.025116,-0.037076,-9.676836,-9.67694,-0.00426,-0.00852,0.001065,99141.16,33.46,-0.01835496,
40.08136,0.011133,0.014352,-0.057408,-9.661288,-9.661469,-0.005325,-0.01065,0,99141.16,33.46,-0.00288396,
40.092633,0.011272,-0.00897,-0.037076,-9.649926,-9.650001,-0.003195,-0.00639,-0.001065,99141.16,33.46,0.00858404,
40.103845,0.011213,-0.002392,-0.031694,-9.66069,-9.660742,-0.00213,-0.00639,0.00213,99141.16,33.46,-0.00215696,
40.114951,0.011105,0.014352,-0.071162,-9.636172,-9.636445,-0.005325,-0.01278,0,99141.16,33.46,0.02214004,
40.126101,0.011151,-0.007176,-0.028106,-9.646936,-9.64698,-0.00426,-0.00639,0.001065,99141.16,33.46,0.01160504,
