time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,
402.217547,0.010094,-0.019136,-0.022724,-9.653514,-9.65356,-0.001065,-0.007455,0,99059.6,31.8,0.00502504,-9.65858504
402.229569,0.012021,-0.010764,-0.053222,-9.672052,-9.672204,-0.00213,-0.005325,0,99059.6,31.8,-0.01361896,
402.240835,0.011267,-0.006578,-0.025116,-9.66368,-9.663715,-0.003195,-0.01278,0.003195,99059.63,31.8,-0.00512996,
402.251758,0.010922,-0.000598,-0.005382,-9.646338,-9.64634,-0.00639,-0.005325,0.001065,99059.63,31.8,0.01224504,
402.262882,0.011124,0.01495,-0.019734,-9.661886,-9.661918,-0.005325,-0.007455,-0.001065,99059.63,31.8,-0.00333296,
402.274116,0.011234,-0.000598,-0.018538,-9.661288,-9.661306,-0.005325,-0.00852,-0.001065,99059.63,31.8,-0.00272096,
402.285319,0.011203,-0.013156,-0.01196,-9.665474,-9.66549,-0.00426,-0.00639,-0.00213,99059.63,31.8,-0.00690496,
402.296652,0.011334,0.026312,-0.046046,-9.654112,-9.654258,-0.003195,-0.007455,-0.001065,99059.63,31.8,0.00432704,
402.307901,0.011248,0.013754,-0.0299,-9.641554,-9.64161,-0.00426,-0.007455,0.001065,99059.63,31.8,0.01697504,
402.318013,0.010113,0.01495,-0.034086,-9.655906,-9.655978,-0.005325,-0.007455,0,99059.63,31.8,0.00260704,
402.328472,0.010459,0.004186,-0.02691,-9.66368,-9.663718,-0.003195,-0.01065,0,99059.63,31.8,-0.00513296,
402.338579,0.010107,0.016744,-0.031096,-9.663082,-9.663147,-0.005325,-0.00639,0.001065,99059.63,31.8,-0.00456196,
402.348715,0.010136,-0.000598,-0.032292,-9.65471,-9.654764,-0.003195,-0.00852,-0.001065,99059.63,31.8,0.00382104,
402.35902,0.010305,0.010764,-0.020332,-9.629594,-9.629621,-0.00426,-0.007455,0.00213,99059.76,31.8,0.02896404,
402.369143,0.010123,0.038272,-0.02093,-9.66368,-9.663778,-0.003195,-0.005325,0,99059.76,31.8,-0.00519296,
402.379234,0.01009,0.008372,-0.032292,-9.652318,-9.652376,-0.005325,-0.00852,-0.001065,99059.76,31.8,0.00620904,
402.389561,0.010327,-0.010764,-0.024518,-9.643348,-9.643385,-0.005325,-0.001065,-0.001065,99059.76,31.8,0.01520004,
402.399675,0.010114,0.016744,-0.034086,-9.636172,-9.636247,-0.00426,-0.00852,0.001065,99059.76,31.8,0.02233804,
402.409778,0.010104,0.024518,-0.019734,-9.655906,-9.655957,-0.003195,-0.00852,-0.001065,99059.76,31.8,0.00262804,
402.41987,0.010092,0.009568,-0.054418,-9.616438,-9.616597,-0.00426,-0.007455,0.001065,99059.76,31.8,0.04198804,
402.430819,0.010949,-0.001794,-0.035282,-9.645142,-9.645207,-0.00426,-0.005325,0.003195,99059.76,31.8,0.01337804,
402.441862,0.011043,0.015548,-0.041262,-9.676238,-9.676338,-0.00639,-0.00852,-0.001065,99059.76,31.8,-0.01775296,
402.452992,0.01113,0.03887,-0.05681,-9.659494,-9.659739,-0.00852,-0.00852,0,99059.76,31.8,-0.00115396,
402.46456,0.011568,0.017342,-0.040664,-9.65172,-9.651821,-0.00426,-0.00639,0.001065,99059.76,31.8,0.00676404,
402.475478,0.010919,-0.006578,-0.01794,-9.669062,-9.669081,-0.003195,-0.007455,0,99059.94,31.8,-0.01049596,
402.486694,0.011215,0.021528,-0.050232,-9.653514,-9.653669,-0.005325,-0.01065,0,99059.94,31.8,0.00491604,
402.497764,0.01107,-0.01495,-0.0299,-9.646936,-9.646994,-0.003195,-0.00852,-0.00213,99059.94,31.8,0.01159104,
402.508951,0.011187,0.025714,-0.03289,-9.66667,-9.66676,-0.00426,-0.005325,0,99059.94,31.8,-0.00817496,
402.520129,0.011178,0.046644,-0.037674,-9.69059,-9.690775,-0.005325,-0.01065,0.001065,99059.94,31.8,-0.03218996,
402.531304,0.011175,-0.015548,-0.036478,-9.647534,-9.647615,-0.00639,-0.009585,-0.001065,99059.94,31.8,0.01097004,
402.542843,0.011539,-0.013754,-0.015548,-9.646936,-9.646958,-0.003195,-0.003195,0.00213,99059.94,31.8,0.01162704,
402.553694,0.01085,0.01794,-0.043654,-9.671454,-9.671569,-0.003195,-0.011715,0,99059.94,31.8,-0.01298396,
402.564937,0.011243,-0.000598,-0.056212,-9.652318,-9.652482,-0.00639,-0.00852,-0.001065,99059.94,31.8,0.00610304,
402.576144,0.011207,-0.041262,-0.029302,-9.657102,-9.657235,-0.00426,-0.005325,0,99059.94,31.8,0.00135004,
402.58731,0.011166,0.002392,-0.031096,-9.656504,-9.656554,-0.005325,-0.00639,0,99060.08,31.8,0.00203104,
402.598425,0.011115,-0.03887,-0.027508,-9.629594,-9.629712,-0.005325,-0.00639,0.001065,99060.08,31.8,0.02887304,
402.609587,0.011162,-0.011362,-0.019734,-9.649926,-9.649953,-0.003195,-0.009585,0,99060.08,31.8,0.00863204,
402.620991,0.011404,0.007176,-0.02093,-9.688198,-9.688223,-0.00426,-0.00426,0.001065,99060.08,31.8,-0.02963796,
402.632199,0.011208,-0.004784,-0.023322,-9.663082,-9.663111,-0.003195,-0.00852,-0.001065,99060.08,31.8,-0.00452596,
402.643339,0.01114,0.004186,-0.016146,-9.688796,-9.68881,-0.001065,-0.011715,-0.003195,99060.08,31.8,-0.03022496,
402.654361,0.011022,0.011362,-0.018538,-9.695374,-9.695398,-0.005325,-0.007455,0,99060.08,31.8,-0.03681296,
402.66556,0.011199,0.013754,-0.023322,-9.676238,-9.676276,-0.00426,-0.00426,-0.001065,99060.08,31.8,-0.01769096,
402.676902,0.011342,0.02691,-0.023322,-9.657102,-9.657168,-0.00213,-0.009585,0,99060.08,31.8,0.00141704,
402.687958,0.011056,0.019734,-0.019136,-9.652916,-9.652955,-0.00639,-0.009585,0.003195,99060.08,31.8,0.00563004,
402.699285,0.011327,0.026312,-0.035282,-9.645142,-9.645242,-0.00426,-0.005325,0,99060.07,31.8,0.01334304,
402.710355,0.01107,0.024518,-0.028704,-9.641554,-9.641628,-0.003195,-0.00852,0.00213,99060.07,31.8,0.01695704,
402.721517,0.011161,0.00598,-0.031096,-9.637966,-9.638018,-0.00426,-0.007455,0,99060.07,31.8,0.02056704,
402.732705,0.011188,0.000598,-0.038272,-9.655308,-9.655384,-0.00426,-0.007455,0.001065,99060.07,31.8,0.00320104,
402.743852,0.011147,0.013156,-0.04485,-9.631986,-9.632099,-0.003195,-0.00426,0,99060.07,31.8,0.02648604,
402.755002,0.01115,-0.00299,-0.029302,-9.639162,-9.639207,-0.005325,-0.009585,-0.00213,99060.07,31.8,0.01937804,
402.766175,0.011173,-0.00897,-0.043056,-9.635574,-9.635674,-0.005325,-0.00639,-0.00213,99060.07,31.8,0.02291104,
402.777411,0.011235,-0.00299,-0.056212,-9.635574,-9.635738,-0.00426,-0.007455,0,99060.07,31.8,0.02284704,
402.788605,0.011194,-0.001196,-0.030498,-9.655906,-9.655954,-0.00426,-0.00639,0.003195,99060.07,31.8,0.00263104,
402.800276,0.011672,0.000598,-0.04186,-9.646936,-9.647027,-0.00426,-0.009585,-0.00213,99060.07,31.8,0.01155804,
402.811012,0.010736,0.001196,-0.037076,-9.658298,-9.658369,-0.005325,-0.00639,0.001065,99060.27,31.79,0.00021604,
402.822171,0.011159,0.01495,-0.034684,-9.655906,-9.65598,-0.005325,-0.007455,0,99060.27,31.79,0.00260504,
402.833284,0.011113,0.012558,-0.02691,-9.679826,-9.679872,-0.00213,-0.00639,0,99060.27,31.79,-0.02128696,
402.844564,0.01128,0.017342,-0.029302,-9.660092,-9.660152,-0.005325,-0.00639,-0.001065,99060.27,31.79,-0.00156696,
402.855694,0.01113,0.025714,-0.01794,-9.680424,-9.680475,-0.003195,-0.00426,-0.001065,99060.27,31.79,-0.02188996,
402.866981,0.011287,0.029302,-0.03289,-9.688198,-9.688298,-0.003195,-0.005325,0.00213,99060.27,31.79,-0.02971296,
402.878162,0.011181,0.004784,-0.026312,-9.66069,-9.660727,-0.005325,-0.009585,0.003195,99060.27,31.79,-0.00214196,
402.889208,0.011046,0.00299,-0.024518,-9.655308,-9.65534,-0.00426,-0.005325,-0.00213,99060.27,31.79,0.00324504,
402.900463,0.011255,-0.007176,-0.011362,-9.660092,-9.660101,-0.00426,-0.005325,-0.001065,99060.27,31.79,-0.00151596,
402.911657,0.011193,-0.013754,-0.031096,-9.646936,-9.646996,-0.005325,-0.007455,0.001065,99060.27,31.79,0.01158904,
402.922878,0.011221,-0.009568,-0.023322,-9.655906,-9.655939,-0.00639,-0.01065,0,99060.37,31.79,0.00264604,
402.933971,0.011093,0.001794,-0.03588,-9.623614,-9.623681,-0.005325,-0.00426,0,99060.37,31.79,0.03490404,
402.945227,0.011257,-0.023322,-0.01794,-9.646338,-9.646383,-0.003195,-0.005325,0,99060.37,31.79,0.01220204,
402.956425,0.011197,0.000598,-0.019734,-9.655308,-9.655328,-0.005325,-0.007455,-0.001065,99060.37,31.79,0.00325704,
402.967543,0.011118,0.013156,-0.02392,-9.656504,-9.656543,-0.00426,-0.00852,0.00213,99060.37,31.79,0.00204204,
402.978833,0.011291,-0.015548,-0.020332,-9.658896,-9.65893,-0.003195,-0.005325,0.003195,99060.37,31.79,-0.00034496,
402.990073,0.01124,0.001794,-0.031694,-9.653514,-9.653566,-0.00426,-0.011715,0.001065,99060.37,31.79,0.00501904,
403.001176,0.011102,0.028106,-0.034086,-9.67564,-9.675741,-0.005325,-0.007455,0.001065,99060.37,31.79,-0.01715596,
403.012301,0.011125,-0.00299,-0.03588,-9.664876,-9.664943,-0.003195,-0.005325,0.001065,99060.37,31.79,-0.00635796,
403.023462,0.011161,0.029302,-0.037076,-9.673248,-9.673363,-0.007455,-0.003195,0.001065,99060.37,31.79,-0.01477796,
403.034675,0.011213,0.001196,-0.039468,-9.662484,-9.662565,-0.00426,-0.009585,0.00213,99060.37,31.79,-0.00397996,
403.045795,0.01112,0.001794,-0.051428,-9.664876,-9.665013,-0.005325,-0.007455,0,99060.31,31.79,-0.00642796,
403.056998,0.011203,0.011362,-0.046644,-9.66368,-9.663799,-0.005325,-0.003195,0.00213,99060.31,31.79,-0.00521396,
403.068185,0.011187,-0.002392,-0.046644,-9.644544,-9.644657,-0.005325,-0.01065,0.001065,99060.31,31.79,0.01392804,
403.079368,0.011184,0.016744,-0.064584,-9.648132,-9.648363,-0.003195,-0.009585,0.003195,99060.31,31.79,0.01022204,
403.090548,0.01118,-0.01196,-0.048438,-9.636172,-9.636301,-0.003195,-0.005325,0,99060.31,31.79,0.02228404,
403.101692,0.011143,-0.006578,-0.069966,-9.62481,-9.625067,-0.00213,-0.009585,-0.001065,99060.31,31.79,0.03351804,
403.112942,0.01125,-0.033488,-0.047242,-9.624212,-9.624386,-0.007455,-0.00852,0.001065,99060.31,31.79,0.03419904,
403.124297,0.011355,-0.025714,-0.049634,-9.613448,-9.613611,-0.00426,-0.00852,-0.001065,99060.31,31.79,0.04497404,
403.135343,0.011046,0.046046,-0.058006,-9.657102,-9.657386,-0.003195,-0.00639,-0.001065,99060.31,31.79,0.00119904,
403.146452,0.011109,0.01794,-0.040066,-9.651122,-9.651222,-0.00852,-0.00852,0.001065,99060.31,31.79,0.00736304,
403.157641,0.011189,-0.023322,-0.022724,-9.63677,-9.636825,-0.00213,-0.00426,-0.00426,99060.42,31.79,0.02176004,
403.168907,0.011265,0.028704,-0.042458,-9.67863,-9.678766,-0.005325,-0.00852,-0.001065,99060.42,31.79,-0.02018096,
403.180101,0.011194,0.039468,-0.013156,-9.695972,-9.696061,-0.00639,-0.007455,0,99060.42,31.79,-0.03747596,
403.191396,0.011295,0.007176,0.001196,-9.66368,-9.663683,-0.00213,-0.00852,-0.001065,99060.42,31.79,-0.00509796,
403.202504,0.011109,0.04485,-0.009568,-9.698364,-9.698472,-0.00639,-0.007455,0,99060.42,31.79,-0.03988696,
403.213796,0.011292,0.007774,-0.007774,-9.703746,-9.703752,-0.00426,-0.00426,0,99060.42,31.79,-0.04516696,
403.224951,0.011155,0.004784,-0.007774,-9.659494,-9.659498,-0.005325,-0.00213,0.001065,99060.42,31.79,-0.00091296,
403.236012,0.011061,0.034086,-0.016744,-9.704942,-9.705016,-0.005325,-0.011715,0,99060.42,31.79,-0.04643096,
403.247132,0.01112,0.004784,0.000598,-9.684012,-9.684013,-0.003195,-0.007455,-0.001065,99060.42,31.79,-0.02542796,
403.258421,0.011289,-0.027508,-0.000598,-9.643348,-9.643387,-0.005325,-0.00426,0.00213,99060.42,31.79,0.01519804,
403.26954,0.011119,-0.002392,-0.002392,-9.670856,-9.670857,-0.005325,-0.01065,0.00213,99060.56,31.79,-0.01227196,
403.280725,0.011185,-0.00598,-0.020332,-9.64574,-9.645763,-0.005325,-0.00426,0.001065,99060.56,31.79,0.01282204,
403.291925,0.0112,-0.007774,-0.018538,-9.648132,-9.648153,-0.00639,-0.00852,0.00213,99060.56,31.79,0.01043204,
403.30318,0.011255,-0.014352,-0.011362,-9.652318,-9.652335,-0.00426,-0.005325,-0.00213,99060.56,31.79,0.00625004,
403.314255,0.011075,0.001794,-0.052624,-9.637966,-9.63811,-0.005325,-0.009585,0.001065,99060.56,31.79,0.02047504,
403.325496,0.01124,-0.015548,-0.015548,-9.659494,-9.659519,-0.005325,-0.007455,0.00213,99060.56,31.79,-0.00093396,
403.336679,0.011183,-0.007176,-0.011362,-9.643946,-9.643955,-0.005325,-0.005325,0.003195,99060.56,31.79,0.01463004,
403.347922,0.011243,0.014352,-0.045448,-9.674444,-9.674561,-0.00426,-0.011715,0.001065,99060.56,31.79,-0.01597596,
403.359018,0.011096,0.024518,-0.048438,-9.622418,-9.622571,-0.00213,-0.011715,0,99060.56,31.79,0.03601404,
403.370366,0.011348,-0.011362,-0.0299,-9.644544,-9.644597,-0.005325,-0.003195,0,99060.56,31.79,0.01398804,
403.381423,0.011056,0.019734,-0.03887,-9.672052,-9.67215,-0.003195,-0.00639,0.00213,99060.68,31.79,-0.01356496,
403.392706,0.011283,0.005382,-0.05681,-9.634378,-9.634547,-0.00426,-0.00852,-0.001065,99060.68,31.79,0.02403804,
403.403721,0.011015,0.032292,-0.053222,-9.641554,-9.641755,-0.00426,-0.007455,0.001065,99060.68,31.79,0.01683004,
403.414945,0.011225,0.008372,-0.052624,-9.652318,-9.652465,-0.003195,-0.00639,-0.001065,99060.68,31.79,0.00612004,
403.426096,0.011151,0.023322,-0.077142,-9.637368,-9.637705,-0.005325,-0.00852,0.001065,99060.68,31.79,0.02088004,
403.437265,0.011169,0.020332,-0.037674,-9.63677,-9.636865,-0.005325,-0.01065,0.001065,99060.68,31.79,0.02172004,
403.448477,0.011212,0.016146,-0.051428,-9.63378,-9.633931,-0.00213,-0.00639,-0.001065,99060.68,31.79,0.02465404,
403.45975,0.011272,0.015548,-0.065182,-9.643946,-9.644179,-0.003195,-0.003195,-0.001065,99060.68,31.79,0.01440604,
403.470884,0.011134,0.027508,-0.058006,-9.616438,-9.616652,-0.003195,-0.011715,0.001065,99060.68,31.79,0.04193304,
403.481995,0.011111,-0.00897,-0.035282,-9.622418,-9.622487,-0.005325,-0.009585,0.001065,99060.68,31.79,0.03609804,
403.493347,0.011353,0.00299,-0.058006,-9.641554,-9.641729,-0.003195,-0.003195,-0.00213,99060.81,31.79,0.01685604,
403.504698,0.011351,0.025714,-0.04485,-9.638564,-9.638703,-0.00426,-0.009585,-0.00213,99060.81,31.79,0.01988204,
403.515597,0.010899,0.016744,-0.01794,-9.65172,-9.651751,-0.00426,-0.01065,0,99060.81,31.79,0.00683404,
403.526805,0.011208,-0.010166,0.00299,-9.652916,-9.652922,-0.00426,-0.005325,-0.00213,99060.81,31.79,0.00566304,
403.537995,0.01119,0.001196,-0.008372,-9.700158,-9.700162,-0.00639,-0.00852,0,99060.81,31.79,-0.04157696,
403.549107,0.011112,-0.010166,0.013156,-9.655906,-9.65592,-0.00213,-0.00852,-0.00213,99060.81,31.79,0.00266504,
403.560351,0.011244,-0.005382,-0.001196,-9.679826,-9.679828,-0.005325,-0.007455,0,99060.81,31.79,-0.02124296,
403.570501,0.01015,0.016146,0,-9.707932,-9.707945,-0.003195,-0.00426,0.001065,99060.81,31.79,-0.04935996,
403.58064,0.010139,-0.013754,0,-9.6876,-9.68761,-0.005325,-0.00852,0.00213,99060.81,31.79,-0.02902496,
403.590726,0.010086,-0.019136,-0.007176,-9.66966,-9.669682,-0.005325,-0.007455,0.003195,99060.81,31.79,-0.01109696,
403.600995,0.010268,-0.004784,-0.022724,-9.67863,-9.678658,-0.00426,-0.005325,0.00213,99060.81,31.79,-0.02007296,
403.611143,0.010148,-0.012558,0.004784,-9.681022,-9.681031,-0.00426,-0.007455,0,99060.9,31.79,-0.02244596,
403.621247,0.010104,0.001794,-0.024518,-9.6577,-9.657731,-0.005325,-0.007455,0,99060.9,31.79,0.00085404,
403.631334,0.010087,-0.010166,-0.031096,-9.658298,-9.658353,-0.005325,-0.00639,0,99060.9,31.79,0.00023204,
