Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,ag
11.6895409,0,0.121436,9.835099,-0.158524,9.837127,90.923355,89.292595,1,2,3,0
11.6919804,0.00244,0.140578,9.849456,-0.160917,9.851773,90.935905,89.182289,1,2,3,0
11.6944199,0.00244,0.104686,9.835099,-0.151346,9.836821,90.881569,89.39016,1,2,3,0
11.6968594,0.00244,0.121436,9.839885,-0.148953,9.841762,90.867195,89.292938,1,2,3,0
11.6992989,0.00244,0.154935,9.835099,-0.084347,9.836681,90.491302,89.097481,1,2,3,0
11.7017384,0.00244,0.147757,9.854242,-0.113061,9.855999,90.657272,89.140961,1,2,3,0
11.7041769,0.00244,0.181256,9.849456,-0.096311,9.851594,90.560143,88.945724,1,2,3,0
11.7066164,0.00244,0.162114,9.832706,-0.093918,9.834491,90.54718,89.055435,1,2,3,0
11.7090569,0.00244,0.157328,9.832706,-0.031705,9.834016,90.184723,89.083321,1,2,3,0
11.7114954,0.00244,0.181256,9.837492,-0.093918,9.839609,90.54689,88.944443,1,2,3,0
11.7139349,0.00244,0.140578,9.839885,-0.108275,9.841485,90.630379,89.181496,1,2,3,0
11.7163744,0.00244,0.205185,9.81835,-0.08674,9.820876,90.50605,88.802803,1,2,3,0
11.7188148,0.00244,0.195613,9.849456,-0.127418,9.852221,90.74102,88.862236,1,2,3,0
11.7212534,0.00244,0.19322,9.830314,-0.141775,9.833235,90.826111,88.873962,1,2,3,0
11.7236929,0.00244,0.169292,9.849456,-0.160917,9.852225,90.93586,89.015297,1,2,3,0
11.7261314,0.00244,0.214756,9.823135,-0.153739,9.826685,90.896431,88.747581,1,2,3,0
11.7285709,0.00244,0.190828,9.839885,-0.158524,9.843012,90.922806,88.888985,1,2,3,0
11.7310114,0.00244,0.169292,9.825528,-0.203988,9.829103,91.189171,89.012901,1,2,3,0
11.7334509,0.00244,0.183649,9.84467,-0.201595,9.848447,91.172913,88.93129,1,2,3,0
11.7358894,0.00244,0.202792,9.839885,-0.16331,9.843329,90.950638,88.819351,1,2,3,0
11.7383289,0.00244,0.157328,9.827921,-0.168096,9.830617,90.979759,89.08287,1,2,3,0
11.7407675,0.00244,0.178863,9.830314,-0.168096,9.833378,90.979485,88.957611,1,2,3,0
