Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
0,0,0.675374,4.0008,9.05444,9.921967,24.137726,80.418243,1,2,3,4
0.0208289,0.02,0.564706,3.988835,8.976076,9.838681,24.171328,81.942085,1,2,3,4
0.0416552,0.02,0.156132,3.863212,8.895318,9.699251,23.492264,87.685654,1,2,3,4
0.0624854,0.02,0.051446,3.88714,9.038289,9.838861,23.273146,89.241745,1,2,3,4
0.0833153,0.02,0.206381,3.858427,9.055637,9.845538,23.107424,86.938263,1,2,3,4
0.1041455,0.02,0.539581,4.08395,9.003593,9.901237,24.585653,82.473534,1,2,3,4
0.1249758,0.02,0.228515,4.309474,9.474979,10.411485,24.487635,86.964668,1,2,3,4
0.145805,0.02,-0.087338,4.028317,8.851051,9.725023,24.476452,91.242035,1,2,3,4
0.166636,0.02,-0.65683,4.158128,8.326425,9.330102,26.820314,98.976433,1,2,3,4
0.1874664,0.02,-1.159323,4.135994,7.992626,9.073728,28.254496,105.658226,1,2,3,4
0.2082974,0.02,-1.518844,4.749155,8.09133,9.50426,31.642597,107.734985,1,2,3,4
0.2291294,0.02,-0.819542,5.54776,8.910872,10.528671,32.183842,98.403236,1,2,3,4
0.249962,0.02,-0.111266,4.792824,8.349156,9.627666,29.864603,91.329895,1,2,3,4
0.2707945,0.02,-0.11665,3.841079,8.082955,8.949953,25.427639,91.739487,1,2,3,4
0.2916256,0.02,-0.648455,3.329613,7.622336,8.343071,23.990515,101.020622,1,2,3,4
0.3124579,0.02,-0.109472,2.7003,7.828119,8.281489,19.046335,92.321533,1,2,3,4
0.3332878,0.02,1.125823,3.196213,9.27817,9.877636,20.063877,70.595871,1,2,3,4
0.354118,0.02,1.004387,3.422933,11.220544,11.773949,17.636566,73.64679,1,2,3,4
0.374949,0.02,-0.425324,3.92722,10.951949,11.642558,19.833534,96.181129,1,2,3,4
0.3957802,0.02,-1.077967,3.811168,10.663016,11.374838,20.377075,105.793243,1,2,3,4
0.4166113,0.02,-1.220938,4.046263,10.268799,11.104556,22.371202,106.790901,1,2,3,4
0.4374417,0.02,-1.651048,3.965505,9.88834,10.781023,23.48008,112.604523,1,2,3,4
0.4582733,0.02,-1.534397,3.815356,9.663414,10.502042,23.052532,111.908203,1,2,3,4
0.4791054,0.02,-0.850648,3.818347,9.822537,10.572871,21.715557,102.559219,1,2,3,4
0.4999369,0.02,-1.104886,3.917051,8.970094,9.85021,24.404675,105.752213,1,2,3,4
0.520767,0.02,-1.324427,4.256233,8.086544,9.233733,28.86482,107.28476,1,2,3,4
0.5415955,0.02,-1.068994,4.187439,8.200802,9.269874,27.788759,104.320923,1,2,3,4
0.5624262,0.02,-1.5003,4.100101,8.246265,9.330735,27.898918,110.098465,1,2,3,4
0.5832558,0.02,-1.865205,4.37408,7.917252,9.235499,30.989349,113.094482,1,2,3,4
0.6040856,0.02,-1.428515,4.627719,7.990831,9.343972,31.219746,107.154762,1,2,3,4
0.6249168,0.02,-1.299901,4.676772,8.078169,9.42437,31.001093,105.53318,1,2,3,4
0.6457458,0.02,-1.350748,4.443471,8.965906,10.097348,27.383657,106.908485,1,2,3,4
0.6665746,0.02,-1.582852,4.03729,9.202198,10.172787,25.231918,111.408066,1,2,3,4
0.6874064,0.02,-1.408176,4.128816,8.412566,9.476357,27.409063,108.832481,1,2,3,4
0.7082369,0.02,-1.690529,4.036094,8.903693,9.920872,26.172415,112.726509,1,2,3,4
0.729067,0.02,-1.052842,4.189833,9.18784,10.152812,25.182741,104.105515,1,2,3,4
0.7498967,0.02,-1.485943,4.104887,8.95454,9.962024,25.990383,109.899933,1,2,3,4
0.7707271,0.02,-2.031507,4.25384,9.18784,10.326596,27.161173,115.52774,1,2,3,4
0.7915591,0.02,-1.725225,4.194618,9.145967,10.208816,26.377138,112.357117,1,2,3,4
0.8123912,0.02,-1.306481,3.760321,8.847462,9.701777,24.224833,109.15921,1,2,3,4
0.8332233,0.02,-1.724627,4.024129,8.656634,9.700788,26.828163,113.198593,1,2,3,4
0.8540541,0.02,-2.681158,4.55414,8.109874,9.679816,33.09013,120.486588,1,2,3,4
0.8748842,0.02,-2.803192,4.622335,8.79123,10.320349,31.588226,121.234505,1,2,3,4
0.8957132,0.02,-1.805385,4.388437,9.745967,10.839818,25.961355,112.362061,1,2,3,4
0.9165432,0.02,-1.261616,4.033701,10.057631,10.909554,22.793013,107.368057,1,2,3,4
0.9373739,0.02,-1.862812,4.133003,8.76491,9.867899,27.349016,114.261871,1,2,3,4
0.9582035,0.02,-2.418545,4.996214,8.000402,9.737452,34.753559,115.830498,1,2,3,4
0.9790337,0.02,-1.947758,4.688736,8.532805,9.929088,30.753567,112.558586,1,2,3,4
0.9998653,0.02,-0.870389,4.155137,9.217752,10.148383,24.728867,101.830864,1,2,3,4
1.0206974,0.02,-1.057029,4.42074,9.170493,10.235145,26.365305,103.447342,1,2,3,4
1.0415297,0.02,-1.732404,4.112066,8.823533,9.887621,26.825916,112.845573,1,2,3,4
1.0623604,0.02,-1.634298,4.193422,8.885149,9.959999,26.863789,111.292305,1,2,3,4
1.0831901,0.02,-2.193022,4.735994,7.745567,9.339849,33.972775,114.846695,1,2,3,4
1.1040211,0.02,-2.285744,5.146363,6.984649,8.971901,38.876312,113.948273,1,2,3,4
1.12485,0.02,-2.161317,5.301897,7.088737,9.112167,38.927475,112.178253,1,2,3,4
1.1456791,0.02,-2.124826,4.754539,7.336394,8.996844,35.369026,114.080101,1,2,3,4
1.1665103,0.02,-2.07039,4.975875,7.962716,9.615128,34.091393,112.591492,1,2,3,4
1.1873418,0.02,-2.550151,5.370092,7.809575,9.814816,37.279293,115.402115,1,2,3,4
1.2081753,0.02,-2.704488,5.164907,8.391629,10.21812,34.789894,117.637794,1,2,3,4
1.2290103,0.02,-2.282155,5.422734,8.943174,10.704889,33.33947,112.823761,1,2,3,4
1.2498422,0.02,-2.107479,5.185246,8.243873,9.96442,34.174477,112.118668,1,2,3,4
1.2706732,0.02,-1.925026,4.692325,7.74437,9.257371,33.221096,112.305885,1,2,3,4
1.2915026,0.02,-1.544567,4.459025,7.651649,8.989789,31.663155,109.105637,1,2,3,4
1.3123329,0.02,-2.149353,4.98066,7.697711,9.417083,35.172657,113.342117,1,2,3,4
1.3331633,0.02,-2.915654,5.233103,7.967501,9.968324,36.938412,119.124626,1,2,3,4
1.3539929,0.02,-2.61715,5.342575,8.740383,10.572931,34.241272,116.098701,1,2,3,4
1.3748209,0.02,-2.087738,5.301299,8.797213,10.481096,32.929417,111.495331,1,2,3,4
1.3956518,0.02,-1.774876,4.786243,8.188837,9.649631,31.938473,110.346222,1,2,3,4
