Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
0,0,-0.077169,9.836894,-0.113659,9.837853,90.661964,90.449463,1,2,3,4
0.0208346,0.0208346,-0.060419,9.850055,-0.08674,9.850621,90.504524,90.35144,1,2,3,4
0.0416701,0.0208355,-0.082552,9.829716,-0.140578,9.831067,90.819321,90.481171,1,2,3,4
0.0625043,0.0208342,-0.09332,9.848858,-0.092124,9.84973,90.535889,90.542877,1,2,3,4
0.0833392,0.0208349,-0.044865,9.837492,-0.043071,9.837688,90.250847,90.261307,1,2,3,4
0.1041743,0.0208351,-0.046062,9.839885,-0.079561,9.840314,90.463257,90.268204,1,2,3,4
0.1250097,0.0208354,-0.077767,9.84467,-0.039482,9.845057,90.229774,90.452591,1,2,3,4
0.1458453,0.0208356,-0.08674,9.839287,-0.038883,9.839746,90.226418,90.505089,1,2,3,4
0.1666799,0.0208346,-0.067597,9.826126,-0.108275,9.826956,90.63131,90.39415,1,2,3,4
0.1875148,0.0208349,-0.077767,9.830912,-0.101097,9.831739,90.589165,90.453224,1,2,3,4
0.208349,0.0208342,-0.089731,9.856036,-0.049651,9.856569,90.28862,90.521614,1,2,3,4
0.2291822,0.0208332,-0.081954,9.84826,-0.077767,9.848907,90.452408,90.476784,1,2,3,4
0.2500159,0.0208337,-0.071186,9.827323,-0.08674,9.827964,90.505692,90.415031,1,2,3,4
0.2708504,0.0208345,-0.072981,9.839287,-0.135793,9.840494,90.790672,90.424973,1,2,3,4
0.2916853,0.0208349,-0.060419,9.842278,-0.182453,9.844153,91.061989,90.351715,1,2,3,4
0.3125195,0.0208342,-0.065803,9.83809,-0.072981,9.838581,90.425018,90.383217,1,2,3,4
0.333353,0.0208335,-0.054437,9.824331,-0.114855,9.825153,90.6698,90.317474,1,2,3,4
0.3541887,0.0208357,-0.071186,9.835099,-0.120838,9.8361,90.703903,90.414703,1,2,3,4
0.3750254,0.0208367,-0.068794,9.84467,-0.011366,9.844917,90.066147,90.400368,1,2,3,4
0.3958617,0.0208363,-0.080758,9.843474,-0.000598,9.843806,90.003479,90.470055,1,2,3,4
0.4166968,0.0208351,-0.06999,9.840483,-0.12323,9.841503,90.717445,90.407509,1,2,3,4
0.4375313,0.0208345,-0.083151,9.848858,-0.126221,9.850018,90.73423,90.483719,1,2,3,4
0.4583656,0.0208343,-0.066401,9.843474,-0.048455,9.843818,90.282028,90.38649,1,2,3,4
0.4792003,0.0208347,-0.058624,9.856635,-0.047258,9.856922,90.274704,90.340775,1,2,3,4
0.5000349,0.0208346,-0.074178,9.833903,-0.135793,9.835121,90.7911,90.432175,1,2,3,4
0.5208672,0.0208323,-0.072981,9.827921,-0.165703,9.829589,90.965912,90.425461,1,2,3,4
0.5417005,0.0208333,-0.064606,9.837492,-0.087936,9.838098,90.512138,90.376274,1,2,3,4
0.5625345,0.020834,-0.065803,9.832706,-0.061615,9.83312,90.359024,90.38343,1,2,3,4
0.5833695,0.020835,-0.098704,9.841082,-0.104686,9.842134,90.609436,90.574646,1,2,3,4
0.6042045,0.020835,-0.080758,9.839287,-0.144168,9.840674,90.839424,90.470253,1,2,3,4
0.625039,0.0208345,-0.065803,9.851251,-0.099302,9.851971,90.577515,90.382706,1,2,3,4
0.6458732,0.0208342,-0.06999,9.845269,-0.075972,9.845812,90.442108,90.40731,1,2,3,4
0.6667076,0.0208344,-0.077767,9.839287,-0.066401,9.839818,90.386642,90.452843,1,2,3,4
0.6875435,0.0208359,-0.080758,9.834501,-0.068794,9.835073,90.400772,90.470482,1,2,3,4
0.7083781,0.0208346,-0.058624,9.84168,-0.087936,9.842247,90.511917,90.341293,1,2,3,4
0.7292107,0.0208326,-0.069392,9.839287,-0.089731,9.83994,90.522491,90.404076,1,2,3,4
0.7500446,0.0208339,-0.065803,9.834501,-0.059222,9.8349,90.345016,90.383362,1,2,3,4
