Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
6.6007819,0.0024528,0.24347,9.815957,-0.19681,9.820949,91.14827,88.579155,1,2,3,4
6.6032357,0.0024538,0.233898,9.849456,-0.18006,9.853878,91.047028,88.639633,1,2,3,4
6.6056886,0.0024529,0.212363,9.830314,-0.215952,9.834979,91.258179,88.762436,1,2,3,4
6.6081414,0.0024528,0.188435,9.839885,-0.29013,9.845964,91.688568,88.902916,1,2,3,4
6.6105952,0.0024538,0.183649,9.854242,-0.249452,9.85911,91.449829,88.932327,1,2,3,4
6.6130476,0.0024524,0.253041,9.851849,-0.122632,9.855861,90.712921,88.528702,1,2,3,4
6.6155,0.0024524,0.207577,9.830314,-0.158524,9.833783,90.923668,88.790321,1,2,3,4
6.6179533,0.0024533,0.195613,9.832706,-0.160917,9.835968,90.937408,88.860298,1,2,3,4
6.6204062,0.0024529,0.188435,9.84467,-0.201595,9.848537,91.172905,88.90345,1,2,3,4
6.622858,0.0024518,0.202792,9.859028,-0.089133,9.861516,90.517868,88.82164,1,2,3,4
6.6253109,0.0024529,0.236291,9.820743,-0.08674,9.823968,90.505898,88.621704,1,2,3,4
6.6277637,0.0024528,0.221934,9.851849,-0.091525,9.854774,90.532135,88.709503,1,2,3,4
6.6302166,0.0024529,0.219541,9.84467,-0.096311,9.847589,90.560371,88.722488,1,2,3,4
6.6326694,0.0024528,0.19322,9.811171,-0.113061,9.813725,90.660103,88.871765,1,2,3,4
6.6351223,0.0024529,0.22672,9.842278,-0.148953,9.846015,90.866821,88.680405,1,2,3,4
6.6375756,0.0024533,0.245863,9.851849,-0.151346,9.856078,90.879845,88.570427,1,2,3,4
6.6400285,0.0024529,0.221934,9.823135,-0.18006,9.827292,91.049858,88.705734,1,2,3,4
6.6424813,0.0024528,0.22672,9.859028,-0.213559,9.863947,91.240578,88.682648,1,2,3,4
6.6449342,0.0024529,0.238684,9.827921,-0.266202,9.834422,91.551094,88.608772,1,2,3,4
6.6473866,0.0024524,0.219541,9.839885,-0.25663,9.845678,91.493599,88.721863,1,2,3,4
6.6498394,0.0024528,0.267398,9.849456,-0.225524,9.855665,91.311195,88.444885,1,2,3,4
6.6522923,0.0024529,0.250648,9.842278,-0.18006,9.847116,91.047745,88.541191,1,2,3,4
6.6547451,0.0024528,0.154935,9.835099,-0.29013,9.840597,91.689491,89.097481,1,2,3,4
6.657198,0.0024529,0.267398,9.868599,-0.242273,9.875194,91.405807,88.447906,1,2,3,4
6.6596508,0.0024528,0.212363,9.813564,-0.065204,9.816078,90.3806,88.76033,1,2,3,4
6.6621032,0.0024524,0.236291,9.849456,-0.005384,9.852291,90.031311,88.625725,1,2,3,4
6.6645565,0.0024533,0.217149,9.815957,-0.05324,9.818503,90.310684,88.732712,1,2,3,4
6.6670098,0.0024533,0.233898,9.808778,-0.05324,9.81171,90.310898,88.633995,1,2,3,4
6.6694632,0.0024534,0.217149,9.837492,-0.060419,9.840074,90.351799,88.735481,1,2,3,4
6.671916,0.0024528,0.207577,9.84467,-0.050847,9.84699,90.29586,88.792084,1,2,3,4
6.6743689,0.0024529,0.221934,9.849456,-0.005384,9.851957,90.031311,88.70919,1,2,3,4
6.6768217,0.0024528,0.238684,9.859028,-0.024526,9.861947,90.142494,88.613159,1,2,3,4
6.679275,0.0024533,0.186042,9.837492,-0.050847,9.839382,90.296089,88.91658,1,2,3,4
6.6817279,0.0024529,0.231506,9.815957,-0.046062,9.818794,90.268784,88.648949,1,2,3,4
6.6841812,0.0024533,0.231506,9.870992,-0.010169,9.873712,90.059013,88.656479,1,2,3,4
6.6866345,0.0024533,0.19322,9.856635,-0.074776,9.858812,90.43457,88.876968,1,2,3,4
6.6890874,0.0024529,0.219541,9.851849,-0.089133,9.854697,90.518227,88.723412,1,2,3,4
6.6915402,0.0024528,0.190828,9.873384,-0.105882,9.875795,90.614304,88.892754,1,2,3,4
6.6939931,0.0024529,0.181256,9.827921,-0.153739,9.830794,90.896057,88.943413,1,2,3,4
6.6964459,0.0024528,0.202792,9.856635,-0.125025,9.859513,90.72657,88.821358,1,2,3,4
6.6988988,0.0024529,0.174078,9.851849,-0.120239,9.85412,90.699135,88.987717,1,2,3,4
6.7013516,0.0024528,0.19322,9.825528,-0.160917,9.828745,90.938095,88.873413,1,2,3,4
6.7038054,0.0024538,0.202792,9.835099,-0.208774,9.839405,91.215797,88.818771,1,2,3,4
6.7062583,0.0024529,0.181256,9.887741,-0.206381,9.891556,91.195526,88.949806,1,2,3,4
6.7087111,0.0024528,0.198006,9.847063,-0.249452,9.852212,91.450851,88.848045,1,2,3,4
6.711164,0.0024529,0.236291,9.851849,-0.268594,9.858341,91.561241,88.626053,1,2,3,4
6.7136173,0.0024533,0.233898,9.842278,-0.251845,9.848277,91.465355,88.638641,1,2,3,4
6.7160702,0.0024529,0.241077,9.875777,-0.249452,9.881868,91.446495,88.601631,1,2,3,4
6.718523,0.0024528,0.241077,9.856635,-0.247059,9.862678,91.435402,88.598923,1,2,3,4
6.7209764,0.0024534,0.241077,9.835099,-0.182453,9.839746,91.062462,88.595856,1,2,3,4
6.7234297,0.0024533,0.260219,9.866206,-0.182453,9.871324,91.059067,88.489182,1,2,3,4
6.7258821,0.0024524,0.274576,9.859028,-0.208774,9.86506,91.212639,88.404709,1,2,3,4
6.7283354,0.0024533,0.22672,9.854242,-0.208774,9.859061,91.213379,88.682007,1,2,3,4
6.7307887,0.0024533,0.238684,9.837492,-0.127418,9.841211,90.741852,88.610123,1,2,3,4
6.7332416,0.0024529,0.245863,9.84467,-0.043669,9.847836,90.254074,88.569382,1,2,3,4
6.7356949,0.0024533,0.269791,9.84467,-0.058026,9.848537,90.337578,88.430214,1,2,3,4
6.7381473,0.0024524,0.238684,9.839885,-0.115454,9.843456,90.672035,88.610458,1,2,3,4
6.7406001,0.0024528,0.267398,9.827921,-0.081954,9.8319,90.4776,88.441483,1,2,3,4
6.7430525,0.0024524,0.236291,9.830314,-0.038883,9.83323,90.226563,88.623047,1,2,3,4
6.7455058,0.0024533,0.207577,9.830314,-0.036491,9.832573,90.212639,88.790321,1,2,3,4
6.7479587,0.0024529,0.200399,9.839885,-0.034098,9.841985,90.198502,88.833275,1,2,3,4
6.750412,0.0024533,0.205185,9.830314,-0.029312,9.832499,90.170807,88.80426,1,2,3,4
6.7528653,0.0024533,0.178863,9.866206,-0.043669,9.867924,90.253555,88.961403,1,2,3,4
6.7553182,0.0024529,0.231506,9.820743,-0.026919,9.823507,90.157005,88.649612,1,2,3,4
6.757771,0.0024528,0.195613,9.823135,-0.055633,9.82524,90.324425,88.859192,1,2,3,4
6.7602239,0.0024529,0.217149,9.837492,-0.048455,9.840008,90.282143,88.735481,1,2,3,4
6.7626772,0.0024533,0.164507,9.81835,-0.074776,9.820013,90.436287,89.0401,1,2,3,4
6.76513,0.0024528,0.217149,9.847063,-0.060419,9.849643,90.351463,88.73671,1,2,3,4
6.7675824,0.0024524,0.262612,9.854242,-0.041276,9.857827,90.239906,88.47345,1,2,3,4
6.7700357,0.0024533,0.212363,9.847063,-0.048455,9.849472,90.281868,88.764542,1,2,3,4
6.7724891,0.0024534,0.238684,9.863813,-0.105882,9.867269,90.614838,88.613831,1,2,3,4
6.7749419,0.0024528,0.214756,9.851849,-0.08674,9.85457,90.504326,88.751236,1,2,3,4
6.7773957,0.0024538,0.253041,9.861421,-0.05324,9.864811,90.309227,88.530128,1,2,3,4
6.7798486,0.0024529,0.248255,9.849456,-0.072383,9.85285,90.420921,88.556168,1,2,3,4
6.7823009,0.0024523,0.262612,9.837492,-0.074776,9.84128,90.435349,88.470848,1,2,3,4
6.7847538,0.0024529,0.269791,9.830314,-0.089133,9.834419,90.519295,88.427925,1,2,3,4
6.7872071,0.0024533,0.284148,9.847063,-0.081954,9.851502,90.476646,88.34713,1,2,3,4
6.78966,0.0024529,0.272184,9.847063,-0.115454,9.851501,90.671486,88.416687,1,2,3,4
6.7921133,0.0024533,0.274576,9.866206,-0.136989,9.870977,90.795174,88.405869,1,2,3,4
6.7945666,0.0024533,0.236291,9.854242,-0.113061,9.857723,90.657158,88.626389,1,2,3,4
6.79702,0.0024534,0.276969,9.81835,-0.108275,9.822853,90.631569,88.384155,1,2,3,4
6.7994733,0.0024533,0.262612,9.825528,-0.153739,9.830239,90.896111,88.468987,1,2,3,4
6.8019266,0.0024533,0.253041,9.813564,-0.151346,9.817993,90.883263,88.522964,1,2,3,4
6.8043795,0.0024529,0.219541,9.832706,-0.148953,9.836285,90.867676,88.720932,1,2,3,4
6.8068323,0.0024528,0.257827,9.81835,-0.136989,9.82269,90.799088,88.495781,1,2,3,4
6.8092856,0.0024533,0.219541,9.825528,-0.139382,9.828968,90.812523,88.719994,1,2,3,4
6.8117385,0.0024529,0.236291,9.803992,-0.144168,9.807899,90.842232,88.619354,1,2,3,4
6.8141913,0.0024528,0.207577,9.832706,-0.170489,9.836375,90.993126,88.790611,1,2,3,4
6.8166442,0.0024529,0.200399,9.849456,-0.168096,9.852928,90.977539,88.834412,1,2,3,4
6.8190975,0.0024533,0.229113,9.825528,-0.093918,9.828648,90.547501,88.664215,1,2,3,4
6.8215504,0.0024529,0.195613,9.837492,-0.079561,9.839758,90.46328,88.860855,1,2,3,4
6.8240032,0.0024528,0.212363,9.830314,-0.08674,9.83299,90.505432,88.762436,1,2,3,4
6.8264565,0.0024533,0.231506,9.861421,-0.089133,9.86454,90.517715,88.655174,1,2,3,4
