Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
0,0,-0.010169,9.873384,-0.304487,9.878084,91.766388,90.059013,1,2,3,4
0.0024391,0.0024391,-0.014955,9.91167,-0.215952,9.914033,91.248146,90.086449,1,2,3,4
0.0048783,0.0024392,-0.012562,9.892527,-0.034098,9.892593,90.197487,90.072762,1,2,3,4
0.0073174,0.0024391,-0.05324,9.909277,-0.091525,9.909842,90.529182,90.307831,1,2,3,4
0.0097566,0.0024392,-0.062812,9.885348,-0.192024,9.887412,91.112816,90.364052,1,2,3,4
0.0121957,0.0024391,-0.014955,9.930812,-0.125025,9.93161,90.721291,90.086281,1,2,3,4
0.0146348,0.0024391,-0.005384,9.880563,0.020937,9.880587,89.878586,90.031219,1,2,3,4
0.017074,0.0024392,-0.046062,9.851849,0.064008,9.852164,89.627754,90.267883,1,2,3,4
0.0195131,0.0024391,0.004187,9.873384,0.064008,9.873592,89.628563,89.9757,1,2,3,4
0.0219522,0.0024391,0.00658,9.827921,0.016152,9.827936,89.905838,89.961639,1,2,3,4
0.0243914,0.0024392,0.042473,9.851849,0.152542,9.853121,89.11293,89.752991,1,2,3,4
0.0268305,0.0024391,0.018544,9.792028,0.114257,9.792712,89.331482,89.891495,1,2,3,4
0.0292696,0.0024391,0.004187,9.84467,0.054437,9.844821,89.683182,89.975632,1,2,3,4
0.0317088,0.0024392,0.042473,9.803992,0.073579,9.80436,89.570007,89.751785,1,2,3,4
0.0341479,0.0024391,0.04008,9.799207,0.095115,9.79975,89.443886,89.765656,1,2,3,4
0.036587,0.0024391,0.018544,9.756136,0.107079,9.756742,89.371178,89.89109,1,2,3,4
0.0390262,0.0024392,-0.026919,9.837492,0.016152,9.837542,89.90593,90.156784,1,2,3,4
0.0414653,0.0024391,-0.046062,9.861421,-0.041276,9.861614,90.239815,90.267624,1,2,3,4
0.0439045,0.0024392,-0.060419,9.832706,-0.08674,9.833274,90.505417,90.352058,1,2,3,4
0.0463436,0.0024391,-0.041276,9.825528,-0.122632,9.82638,90.715065,90.240692,1,2,3,4
0.0487827,0.0024391,-0.072383,9.849456,-0.160917,9.851036,90.935974,90.421051,1,2,3,4
0.0512219,0.0024392,-0.120239,9.859028,-0.144168,9.860815,90.837708,90.698738,1,2,3,4
0.053661,0.0024391,-0.10349,9.861421,-0.098704,9.862458,90.573425,90.601265,1,2,3,4
0.0561002,0.0024392,-0.120239,9.854242,-0.08674,9.855358,90.50428,90.699074,1,2,3,4
0.0585393,0.0024391,-0.125025,9.839885,-0.060419,9.840864,90.351776,90.727959,1,2,3,4
0.0609784,0.0024391,-0.105882,9.856635,-0.132203,9.85809,90.768394,90.615463,1,2,3,4
0.0634176,0.0024392,-0.122632,9.882956,-0.182453,9.8854,91.057556,90.710915,1,2,3,4
0.0658567,0.0024391,-0.062812,9.866206,-0.105882,9.866974,90.614853,90.364761,1,2,3,4
0.0682958,0.0024391,-0.081954,9.87817,-0.06999,9.878757,90.405937,90.475342,1,2,3,4
0.0707349,0.0024391,-0.084347,9.866206,-0.06999,9.866816,90.406433,90.489815,1,2,3,4
0.0731741,0.0024392,-0.046062,9.887741,-0.017348,9.887863,90.100525,90.266907,1,2,3,4
0.0756132,0.0024391,-0.000598,9.885348,-0.055633,9.885505,90.322449,90.003464,1,2,3,4
0.0780524,0.0024392,-0.005384,9.861421,-0.067597,9.861654,90.392738,90.031281,1,2,3,4
0.0804915,0.0024391,-0.017348,9.885348,-0.081954,9.885703,90.474998,90.100548,1,2,3,4
0.0829306,0.0024391,-0.029312,9.87817,-0.05324,9.878357,90.3088,90.170013,1,2,3,4
0.0853698,0.0024392,0.011366,9.863813,-0.029312,9.863864,90.170265,89.933983,1,2,3,4
0.0878089,0.0024391,0.016152,9.856635,-0.05324,9.856792,90.309479,89.906113,1,2,3,4
0.0902481,0.0024392,-0.007777,9.842278,-0.060419,9.842466,90.351715,90.045273,1,2,3,4
0.0926872,0.0024391,0.004187,9.830314,-0.091525,9.830741,90.53344,89.975594,1,2,3,4
0.0951263,0.0024391,0.02333,9.847063,-0.127418,9.847915,90.741348,89.86425,1,2,3,4
0.0975655,0.0024392,-0.019741,9.832706,-0.14656,9.833818,90.853951,90.115028,1,2,3,4
0.1000046,0.0024391,0.001795,9.847063,-0.144168,9.848119,90.838791,89.989555,1,2,3,4
0.1024437,0.0024391,-0.029312,9.849456,-0.115454,9.850176,90.671577,90.170509,1,2,3,4
0.1048829,0.0024392,-0.031705,9.837492,-0.182453,9.839234,91.062515,90.184654,1,2,3,4
0.107322,0.0024391,-0.031705,9.842278,-0.232702,9.845079,91.354393,90.184563,1,2,3,4
0.1097611,0.0024391,-0.014955,9.820743,-0.235095,9.823567,91.371315,90.08725,1,2,3,4
0.1122003,0.0024392,-0.029312,9.789636,-0.263809,9.793234,91.54361,90.171555,1,2,3,4
0.1146394,0.0024391,-0.036491,9.849456,-0.220738,9.851997,91.283844,90.212273,1,2,3,4
0.1170785,0.0024391,-0.031705,9.835099,-0.189631,9.836978,91.104584,90.1847,1,2,3,4
0.1195177,0.0024392,-0.026919,9.811171,-0.153739,9.812412,90.897736,90.157204,1,2,3,4
0.1219568,0.0024391,-0.055633,9.842278,-0.282951,9.846501,91.64669,90.32386,1,2,3,4
0.124396,0.0024392,0.013759,9.823135,-0.280558,9.82715,91.635979,89.919746,1,2,3,4
0.1268351,0.0024391,-0.014955,9.856635,-0.136989,9.857598,90.796257,90.086929,1,2,3,4
0.1292742,0.0024391,-0.019741,9.825528,-0.089133,9.825952,90.519745,90.115112,1,2,3,4
0.1317134,0.0024392,-0.024526,9.820743,-0.160917,9.822091,90.938728,90.143089,1,2,3,4
0.1341525,0.0024391,-0.050847,9.854242,-0.168096,9.855807,90.977257,90.295639,1,2,3,4
0.1365917,0.0024392,-0.026919,9.81835,-0.096311,9.818859,90.562012,90.157089,1,2,3,4
0.1390308,0.0024391,0.018544,9.859028,-0.000598,9.859045,90.003479,89.892227,1,2,3,4
0.1414699,0.0024391,-0.022134,9.863813,-0.05324,9.863982,90.30925,90.128571,1,2,3,4
0.1439091,0.0024392,0.018544,9.854242,-0.058026,9.85443,90.337379,89.892174,1,2,3,4
0.1463482,0.0024391,0.044865,9.847063,-0.062812,9.847365,90.365463,89.738953,1,2,3,4
0.1487873,0.0024391,0.064008,9.847063,0.037687,9.847343,89.780724,89.627571,1,2,3,4
0.1512265,0.0024392,0.016152,9.851849,0.013759,9.851871,89.919983,89.906067,1,2,3,4
0.1536656,0.0024391,0.004187,9.866206,-0.06999,9.866455,90.406448,89.975685,1,2,3,4
0.1561047,0.0024391,0.016152,9.856635,-0.036491,9.856716,90.212112,89.906113,1,2,3,4
0.1585439,0.0024392,0.035294,9.854242,-0.010169,9.854311,90.059128,89.794792,1,2,3,4
0.160983,0.0024391,0.083151,9.856635,-0.017348,9.857,90.100838,89.516663,1,2,3,4
0.1634221,0.0024391,-0.012562,9.854242,-0.098704,9.854745,90.573875,90.073044,1,2,3,4
0.1658613,0.0024392,-0.010169,9.861421,-0.165703,9.862819,90.962662,90.059082,1,2,3,4
0.1683004,0.0024391,-0.002991,9.842278,-0.189631,9.844105,91.103783,90.01741,1,2,3,4
0.1707396,0.0024392,0.001795,9.832706,-0.18006,9.834355,91.049103,89.98954,1,2,3,4
0.1731787,0.0024391,-0.012562,9.847063,-0.199202,9.849086,91.158913,90.073097,1,2,3,4
0.1756179,0.0024392,-0.036491,9.868599,-0.206381,9.870825,91.198036,90.211861,1,2,3,4
0.178057,0.0024391,-0.036491,9.854242,-0.227916,9.856946,91.324936,90.212166,1,2,3,4
0.1804961,0.0024391,-0.08674,9.849456,-0.184846,9.851572,91.075104,90.504562,1,2,3,4
0.1829353,0.0024392,-0.060419,9.861421,-0.268594,9.865263,91.560143,90.351036,1,2,3,4
0.1853744,0.0024391,-0.060419,9.849456,-0.314058,9.854647,91.826271,90.351463,1,2,3,4
0.1878135,0.0024391,-0.091525,9.84467,-0.524626,9.859064,93.050301,90.532661,1,2,3,4
0.1902526,0.0024391,-0.019741,9.81835,-0.125025,9.819166,90.729553,90.115196,1,2,3,4
0.1926918,0.0024392,0.025723,9.830314,0.178863,9.831975,88.957619,89.850075,1,2,3,4
0.1951309,0.0024391,-0.029312,9.8016,-0.010169,9.801649,90.059448,90.171349,1,2,3,4
0.19757,0.0024391,-0.058026,9.813564,-0.278166,9.817677,91.623589,90.338776,1,2,3,4
0.2000092,0.0024392,-0.002991,9.770494,-0.259023,9.773927,91.5186,90.01754,1,2,3,4
0.2024483,0.0024391,0.042473,9.796814,-0.101097,9.797427,90.591232,89.751602,1,2,3,4
0.2048875,0.0024392,0.004187,9.780065,0.001795,9.780066,89.989487,89.975471,1,2,3,4
0.2073266,0.0024391,0.042473,9.808778,-0.120239,9.809607,90.702309,89.751907,1,2,3,4
0.2097658,0.0024392,0.059222,9.78485,-0.18006,9.786686,91.054214,89.653221,1,2,3,4
