Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
45.5140228,0,0.272184,0.029312,9.855438,9.85924,1.591147,6.146626,1,2,3,4
45.5164604,0.0024376,0.257827,-0.004187,9.862617,9.865987,1.497633,359.069519,1,2,3,4
45.5189018,0.0024414,0.224327,-0.004187,9.879367,9.881914,1.301008,358.930603,1,2,3,4
45.5213356,0.0024338,0.260219,0.002991,9.891331,9.894753,1.507011,0.658543,1,2,3,4
45.523777,0.0024414,0.238684,0.012562,9.903295,9.906178,1.382535,3.012788,1,2,3,4
45.5262146,0.0024376,0.241077,-0.004187,9.893723,9.896661,1.395917,359.004883,1,2,3,4
45.528656,0.0024414,0.255434,0.000598,9.893723,9.89702,1.478961,0.134182,1,2,3,4
45.5310936,0.0024376,0.310469,-0.013759,9.865009,9.869903,1.804285,357.462555,1,2,3,4
45.5335312,0.0024376,0.312862,-0.066401,9.886545,9.891717,1.852874,348.017517,1,2,3,4
45.5359726,0.0024414,0.298505,-0.092722,9.867402,9.872352,1.814344,342.74408,1,2,3,4
45.5384102,0.0024376,0.324826,-0.042473,9.84826,9.853706,1.905056,352.550537,1,2,3,4
45.5408516,0.0024414,0.327219,-0.02333,9.857831,9.863288,1.905981,355.921814,1,2,3,4
45.5432892,0.0024376,0.343968,-0.04008,9.829117,9.835215,2.017709,353.35376,1,2,3,4
45.5457306,0.0024414,0.382253,-0.044865,9.81476,9.822304,2.245679,353.305756,1,2,3,4
45.5481644,0.0024338,0.367896,-0.013759,9.833903,9.840793,2.144023,357.858215,1,2,3,4
45.5506058,0.0024414,0.355932,-0.030508,9.805189,9.811694,2.086473,355.100922,1,2,3,4
45.5530434,0.0024376,0.30329,-0.071186,9.821939,9.826878,1.816608,346.790985,1,2,3,4
45.5554848,0.0024414,0.288933,-0.054437,9.836296,9.84069,1.712236,349.330231,1,2,3,4
45.5579224,0.0024376,0.312862,-0.054437,9.838689,9.843812,1.848644,350.129578,1,2,3,4
45.5603638,0.0024414,0.332004,-0.011366,9.850653,9.856253,1.93148,358.039276,1,2,3,4
45.5628014,0.0024376,0.355932,-0.080758,9.821939,9.828717,2.128081,347.216553,1,2,3,4
45.5652428,0.0024414,0.332004,-0.054437,9.805189,9.810959,1.965131,350.688416,1,2,3,4
45.5676804,0.0024376,0.291326,-0.061615,9.786046,9.790575,1.742823,348.057983,1,2,3,4
45.5701218,0.0024414,0.250648,-0.087936,9.805189,9.808786,1.551795,340.667328,1,2,3,4
45.5725594,0.0024376,0.219541,-0.073579,9.817153,9.819883,1.351181,341.471436,1,2,3,4
45.5749969,0.0024375,0.245863,-0.075972,9.843474,9.846838,1.497633,342.828735,1,2,3,4
45.5774345,0.0024376,0.276969,-0.068794,9.833903,9.838043,1.662246,346.051147,1,2,3,4
45.5798759,0.0024414,0.236291,-0.068794,9.793225,9.796317,1.439535,343.767639,1,2,3,4
45.5823135,0.0024376,0.231506,-0.0999,9.774082,9.777334,1.47777,336.65863,1,2,3,4
45.5847549,0.0024414,0.260219,-0.071186,9.819546,9.823251,1.573709,344.700317,1,2,3,4
45.5871925,0.0024376,0.24347,-0.109472,9.824331,9.827957,1.556454,335.789825,1,2,3,4
45.5896301,0.0024376,0.279362,-0.054437,9.87458,9.878681,1.650905,348.97348,1,2,3,4
45.5920715,0.0024414,0.324826,-0.078365,9.879367,9.885016,1.937247,346.436432,1,2,3,4
45.5945091,0.0024376,0.310469,-0.064008,9.865009,9.870101,1.840475,348.3508,1,2,3,4
45.5969505,0.0024414,0.322433,-0.090329,9.800404,9.806122,1.956748,344.349854,1,2,3,4
45.5993881,0.0024376,0.308076,-0.090329,9.788439,9.793703,1.878678,343.658661,1,2,3,4
45.6018257,0.0024376,0.327219,-0.114257,9.829117,9.835225,2.019454,340.751953,1,2,3,4
45.6042633,0.0024376,0.32004,-0.11665,9.841082,9.846975,1.982483,339.973907,1,2,3,4
45.6067047,0.0024414,0.363111,-0.085543,9.884152,9.89119,2.161388,346.743683,1,2,3,4
45.6091423,0.0024376,0.32004,-0.109472,9.884152,9.889938,1.959946,341.116425,1,2,3,4
45.6115837,0.0024414,0.35354,-0.095115,9.843474,9.850281,2.130103,344.941956,1,2,3,4
45.6140213,0.0024376,0.322433,-0.104686,9.826724,9.83257,1.975858,342.012665,1,2,3,4
45.6164627,0.0024414,0.296112,-0.066401,9.81476,9.819451,1.771115,347.360931,1,2,3,4
45.6189003,0.0024376,0.288933,-0.05683,9.798011,9.802435,1.721469,348.872681,1,2,3,4
45.6213417,0.0024414,0.281755,-0.135793,9.857831,9.862792,1.817362,334.268097,1,2,3,4
45.6237793,0.0024376,0.281755,-0.071186,9.857831,9.862114,1.688644,345.82074,1,2,3,4
