Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
12.2435122,0,0.346361,-0.073579,9.999007,10.005275,2.028158,348.006653,1,2,3,4
12.2459621,0.0024499,0.420539,-0.075972,9.991829,10.000963,2.448965,349.759705,1,2,3,4
12.2484131,0.002451,0.384646,-0.121436,9.989436,9.997576,2.312153,342.478699,1,2,3,4
12.250864,0.0024509,0.418146,-0.037687,10.015758,10.024553,2.400369,354.849915,1,2,3,4
12.253315,0.002451,0.384646,-0.066401,10.01815,10.025751,2.231165,350.205658,1,2,3,4
12.2557659,0.0024509,0.401396,-0.066401,10.025329,10.033581,2.32389,350.606934,1,2,3,4
12.2582169,0.002451,0.351147,-0.066401,10.003794,10.010175,2.045932,349.291962,1,2,3,4
12.2606668,0.0024499,0.339183,-0.064008,9.955936,9.961918,1.985639,349.313232,1,2,3,4
12.2631178,0.002451,0.341575,-0.044865,9.943973,9.949939,1.984259,352.51712,1,2,3,4
12.2655678,0.00245,0.401396,-0.013759,9.967901,9.975989,2.307323,358.036835,1,2,3,4
12.2680187,0.0024509,0.348754,-0.037687,9.999007,10.005158,2.009253,353.832458,1,2,3,4
12.2704697,0.002451,0.372682,-0.02333,10.006186,10.013152,2.137258,356.417938,1,2,3,4
12.2729206,0.0024509,0.317647,-0.044865,10.003794,10.008936,1.836643,351.960541,1,2,3,4
12.2753696,0.002449,0.291326,-0.032901,9.955936,9.960252,1.686672,353.556519,1,2,3,4
12.2778215,0.0024519,0.248255,-0.025723,9.967901,9.971025,1.43436,354.084442,1,2,3,4
12.2802715,0.00245,0.288933,-0.054437,9.989436,9.993762,1.68586,349.330231,1,2,3,4
12.2827234,0.0024519,0.279362,-0.037687,10.015758,10.019724,1.612162,352.316986,1,2,3,4
12.2851734,0.00245,0.372682,-0.008973,9.996614,10.003563,2.135609,358.620758,1,2,3,4
12.2876234,0.00245,0.346361,-0.042473,9.936794,9.94292,2.011297,353.009003,1,2,3,4
12.2900743,0.0024509,0.324826,0.026919,9.963116,9.968446,1.873775,4.737443,1,2,3,4
12.2925253,0.002451,0.348754,0.031705,10.015758,10.021878,2.002521,5.194428,1,2,3,4
12.2949762,0.0024509,0.317647,-0.020937,9.996614,10.001682,1.824026,356.228882,1,2,3,4
12.2974262,0.00245,0.346361,0.019741,9.953544,9.959587,1.99606,3.262033,1,2,3,4
